,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_6.PNG,up,0.015847816999666975,1622228683.1407065,11.218118831000538,1622228694.342977
1,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_19.PNG,up,16.247023989999434,1622228699.3718824,41.27027983500011,1622228724.395138
2,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-2.png,down,46.309762548000435,1622228729.4346209,96.95897242300089,1622228780.0838308
3,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_10.PNG,down,101.98565608200079,1622228785.1105149,138.93867040700025,1622228822.0635288
4,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-2.png,up,143.98016044399992,1622228827.105019,180.18093445699924,1622228863.305793
5,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_2.PNG,down,185.20805970000038,1622228868.3329182,210.0050212219994,1622228893.1298797
6,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_5.PNG,down,215.03675738899983,1622228898.1616163,256.17726193199996,1622228939.3021202
7,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_11.PNG,up,261.2057311869994,1622228944.3305895,299.3036772249998,1622228982.4285355
8,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-3.png,up,304.34341000399945,1622228987.4682689,384.7390462980002,1622229067.8639045
9,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_9.PNG,up,389.77144489700004,1622229072.8963034,405.1767129389991,1622229088.3015711
10,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_3.PNG,space,410.2000021629992,1622229093.3248608,416.864072245,1622229099.9889305
11,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_4.PNG,down,421.8972293759998,1622229105.0220883,448.3447569210002,1622229131.4696157
12,code,/home/erb/.eegnb/tmp/materials.final/comp/final-14-1.png,up,453.39013120799973,1622229136.5149899,498.2218110419999,1622229181.3466692
13,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_20.PNG,up,503.2460000939991,1622229186.370859,528.7065268810002,1622229211.8313851
14,code,/home/erb/.eegnb/tmp/materials.final/comp/final-9-1.png,up,533.756401228,1622229216.88126,563.0326937600003,1622229246.1575522
15,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-2.png,up,568.0828954509998,1622229251.2077537,663.8759255080004,1622229347.000784
16,code,/home/erb/.eegnb/tmp/materials.final/comp/final-1-1.png,up,668.9304354939995,1622229352.0552948,707.9317925020005,1622229391.056651
17,code,/home/erb/.eegnb/tmp/materials.final/comp/final-3-1.png,up,712.9724357439991,1622229396.0972946,782.5613185279999,1622229465.686177
18,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_18.PNG,up,787.5927114339993,1622229470.7175698,808.7999798710007,1622229491.924838
19,code,/home/erb/.eegnb/tmp/materials.final/comp/final-4-1.png,down,813.8547625749998,1622229496.9796212,886.1314979760009,1622229569.2563562
