,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_1.PNG,up,0.01672753505408764,1617372244.3327775,17.85736303497106,1617372262.1734135
1,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_15.PNG,up,22.90016653505154,1617372267.216217,52.065406806068495,1617372296.3814566
2,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-12-2.png,up,57.11724819405936,1617372301.4332993,124.96812822599895,1617372369.284178
3,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-4-1.png,down,130.01704767090268,1617372374.333098,186.0385267350357,1617372430.3545763
4,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_2.PNG,up,191.06766711105593,1617372435.3837192,217.85391924111173,1617372462.169969
5,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-8-1.png,up,222.90094011789188,1617372467.2169907,294.5575118348934,1617372538.8735616
6,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_4.PNG,up,299.5845608029049,1617372543.9006112,332.08697255607694,1617372576.403022
7,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-2-2.png,space,337.1345313859638,1617372581.4505825,342.6111604811158,1617372586.927212
8,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_12.PNG,up,347.6516167749651,1617372591.9676664,371.67323679709807,1617372615.9892862
9,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_6.PNG,up,376.70137163996696,1617372621.0174215,387.319388869917,1617372631.6354387
10,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_5.PNG,up,392.3515223180875,1617372636.6675718,407.87367806001566,1617372652.1897278
11,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-15-1.png,up,412.9186309860088,1617372657.2346816,451.8570613830816,1617372696.1731122
12,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_18.PNG,up,456.9017372899689,1617372701.2177875,502.4965986299794,1617372746.8126493
13,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-2-1.png,up,507.5518758241087,1617372751.8679256,555.5988179759588,1617372799.9148674
14,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-5-3.png,down,560.6521679360885,1617372804.9682198,657.1363378909882,1617372901.4523895
15,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_9.PNG,space,662.1693235319108,1617372906.4853737,672.6758383479901,1617372916.9918883
16,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-11-1.png,down,677.7196224399377,1617372922.0356731,753.5164932350162,1617372997.8325427
17,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_13.PNG,up,758.5527219569776,1617373002.8687723,782.8556256981101,1617373027.1716752
18,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_16.PNG,up,787.8860925289337,1617373032.2021427,797.8158929990605,1617373042.1319425
19,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-9-1.png,up,802.8695366790053,1617373047.185587,833.216119719902,1617373077.5321705
20,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_20.PNG,up,838.2531391319353,1617373082.5691895,869.0967171140946,1617373113.4127667
21,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-5-1.png,down,874.1530316181015,1617373118.4690835,913.1337409049738,1617373157.4497914
22,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-14-1.png,up,918.1863773621153,1617373162.502427,961.115874581039,1617373205.4319239
23,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_8.PNG,space,966.1530709879007,1617373210.469122,973.4618900120258,1617373217.7779396
24,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_11.PNG,up,978.4868204230443,1617373222.8028708,991.5911081710365,1617373235.907158
25,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-3-1.png,down,996.6365926340222,1617373240.9526453,1052.1747284529265,1617373296.4907784
26,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-10-2.png,down,1057.2200601729564,1617373301.5361114,1083.053978960961,1617373327.3700287
27,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-7-1.png,up,1088.1037539730314,1617373332.4198043,1173.0292419260368,1617373417.3452914
28,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_3.PNG,space,1178.053787948098,1617373422.3698375,1181.849938052008,1617373426.1659882
29,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-12-1.png,up,1186.903759655077,1617373431.2198107,1203.8006125111133,1617373448.1166623
30,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-10-1.png,up,1208.8536971539725,1617373453.1697483,1245.6398725248873,1617373489.9559221
31,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_19.PNG,up,1250.670801695902,1617373494.986852,1273.7040089999791,1617373518.0200584
32,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_17.PNG,space,1278.7372714469675,1617373523.053322,1284.9204342421144,1617373529.236484
33,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-13-1.png,up,1289.9705968080088,1617373534.2866473,1315.7364281460177,1617373560.0524788
34,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-5-2.png,up,1320.7872131390031,1617373565.1032643,1357.6198397420812,1617373601.935891
35,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_10.PNG,up,1362.654090319993,1617373606.9701405,1382.847879491048,1617373627.163929
36,prose,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/prose/bugs/bugs_14.PNG,up,1387.8875256630126,1617373632.2035766,1414.9862428091,1617373659.3022928
37,code,/home/erb/Skola/Exjobb/other/2016-materials/materials.final/comp/final-1-1.png,up,1420.0374321879353,1617373664.3534825,1460.9506057570688,1617373705.2666554
