timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606142142.525,0.000,0.000,0.000,0.000,0.000,0
1606142142.528,0.000,0.000,0.000,0.000,0.000,0
1606142142.532,-14.648,-1.953,-2.441,-35.156,0.000,0
1606142142.536,36.133,3.418,4.395,80.078,0.000,0
1606142142.540,-158.203,-19.043,-19.043,-360.840,0.000,0
1606142142.544,-378.418,-52.734,-60.059,-1000.000,0.000,0
1606142142.548,-36.133,-31.250,-18.066,-137.695,0.000,0
1606142142.552,337.402,-2.441,36.133,-947.266,0.000,0
1606142142.556,264.648,-12.207,7.324,746.582,0.000,0
1606142142.560,-173.340,-34.180,-45.410,-411.621,0.000,0
1606142142.564,-405.762,-41.504,-40.039,-1000.000,0.000,0
1606142142.567,-118.164,-32.715,-9.277,-314.453,0.000,0
1606142142.571,275.391,-15.625,4.395,924.805,0.000,0
1606142142.575,271.973,-16.602,2.930,864.746,0.000,0
1606142142.579,-143.066,-41.504,-18.066,-275.879,0.000,0
1606142142.583,-399.902,-49.805,-30.762,-1000.000,0.000,0
1606142142.587,-166.016,-41.504,-31.250,-490.234,0.000,0
1606142142.591,251.953,-24.414,-11.230,775.391,0.000,0
1606142142.595,321.289,-16.113,2.441,977.051,0.000,0
1606142142.599,-75.684,-33.203,-18.066,-135.742,0.000,0
1606142142.603,-395.508,-45.410,-46.387,-1000.000,0.000,0
1606142142.607,-214.844,-31.738,-41.992,-636.230,0.000,0
1606142142.610,212.891,-7.324,-9.277,597.656,0.000,0
1606142142.614,323.730,-7.812,-2.441,-940.430,0.000,0
1606142142.618,-38.086,-33.691,-28.809,13.184,0.000,0
1606142142.622,-388.672,-45.410,-57.129,-1000.000,0.000,0
1606142142.626,-283.691,-33.691,-51.270,-756.836,0.000,0
1606142142.630,152.832,-18.066,-19.043,415.039,0.000,0
1606142142.634,353.027,-8.301,4.395,-891.602,0.000,0
1606142142.638,51.758,-18.555,-2.441,214.844,0.000,0
1606142142.642,-327.148,-47.852,-41.016,-1000.000,0.000,0
1606142142.646,-307.617,-62.988,-51.758,-868.652,0.000,0
1606142142.650,118.652,-37.598,-6.348,272.949,0.000,0
1606142142.653,376.465,-11.719,19.043,-882.324,0.000,0
1606142142.657,118.164,-21.973,-2.441,390.137,0.000,0
1606142142.661,-298.828,-43.457,-27.344,-866.699,0.000,0
1606142142.665,-346.680,-41.992,-46.387,-983.398,0.000,0
1606142142.669,62.988,-20.996,-40.527,131.836,0.000,0
1606142142.673,355.957,-3.906,-4.883,-895.508,0.000,0
1606142142.677,162.598,-18.066,-0.488,549.316,0.000,0
1606142142.681,-266.113,-41.016,-35.156,-699.707,0.000,0
1606142142.685,-373.047,-44.922,-49.316,-1000.000,0.000,0
1606142142.689,9.766,-30.273,-17.090,5.371,0.000,0
1606142142.692,351.074,-8.789,7.324,-926.758,0.000,0
1606142142.696,215.332,-13.184,-9.766,668.945,0.000,0
1606142142.700,-227.539,-49.316,-38.086,-526.855,0.000,0
1606142142.704,-398.926,-61.523,-46.387,-1000.000,0.000,0
1606142142.708,-70.312,-36.621,-27.344,-185.059,0.000,0
1606142142.712,308.594,-9.766,0.488,-990.723,0.000,0
1606142142.716,259.277,-17.090,-12.207,781.250,0.000,0
1606142142.720,-167.969,-46.875,-39.062,-373.535,0.000,0
1606142142.724,-401.855,-53.711,-41.016,-1000.000,0.000,0
1606142142.728,-132.812,-33.203,-27.344,-374.023,0.000,0
1606142142.732,282.227,-4.883,-5.371,886.230,0.000,0
1606142142.735,302.246,3.418,1.953,902.344,0.000,0
