timestamps,TP9,AF7,AF8,TP10,Right AUX
1606129693.983,0.000,0.000,0.000,-0.488,0.000
1606129693.987,-0.488,0.000,-0.488,-0.977,0.000
1606129693.991,0.977,-0.977,-0.977,4.395,0.000
1606129693.995,-1.465,1.465,1.953,-5.371,0.000
1606129693.999,0.488,-9.277,-13.184,15.137,0.000
1606129694.003,31.250,-18.555,-23.926,139.648,0.000
1606129694.007,15.137,-22.461,-25.391,112.793,0.000
1606129694.011,-65.430,-35.645,-37.109,-118.652,0.000
1606129694.015,-94.727,-29.785,-30.273,-215.332,0.000
1606129694.019,-37.109,-21.484,-23.438,-60.059,0.000
1606129694.022,27.344,-21.484,-32.227,141.602,0.000
1606129694.026,18.555,-20.996,-31.738,128.906,0.000
1606129694.030,-51.758,-28.320,-36.133,-98.145,0.000
1606129694.034,-91.797,-31.250,-41.504,-226.562,0.000
1606129694.038,-49.805,-19.043,-32.715,-98.145,0.000
1606129694.042,27.832,-13.672,-34.668,125.488,0.000
1606129694.046,37.109,-20.508,-22.949,164.062,0.000
1606129694.050,-49.316,-28.809,-14.648,-45.410,0.000
1606129694.054,-120.117,-39.062,-19.531,-213.867,0.000
1606129694.058,-89.844,-41.016,-16.602,-131.348,0.000
1606129694.062,-3.906,-37.598,-15.625,98.145,0.000
1606129694.065,19.043,-33.691,-6.836,162.598,0.000
1606129694.069,-45.410,-30.273,4.883,-24.902,0.000
1606129694.073,-104.492,-34.180,-8.301,-203.613,0.000
1606129694.077,-81.055,-36.133,-22.461,-149.414,0.000
1606129694.081,-5.371,-35.645,-14.648,74.219,0.000
1606129694.085,20.020,-33.203,-14.160,160.156,0.000
1606129694.089,-27.832,-29.297,-13.672,0.488,0.000
1606129694.093,-83.008,-39.551,-9.766,-187.012,0.000
1606129694.097,-70.801,-45.898,-14.648,-161.133,0.000
1606129694.101,-1.953,-12.695,-20.996,66.895,0.000
1606129694.105,22.949,5.859,-26.367,178.223,0.000
1606129694.108,-19.531,-15.625,-24.414,38.086,0.000
1606129694.112,-81.055,-38.574,-23.926,-169.922,0.000
