timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606136340.480,-0.488,0.000,0.000,-0.488,0.000,0
1606136340.484,0.000,0.000,0.000,0.000,0.000,0
1606136340.488,4.395,-0.977,-0.977,12.695,0.000,0
1606136340.492,-14.160,0.977,1.465,-37.109,0.000,0
1606136340.495,60.059,-7.324,-10.254,162.109,0.000,0
1606136340.499,104.980,-19.043,-28.320,334.961,0.000,0
1606136340.503,-63.965,-23.438,-30.273,-72.266,0.000,0
1606136340.507,-179.199,-28.809,-24.414,-398.926,0.000,0
1606136340.511,-86.914,-21.973,-19.043,-220.703,0.000,0
1606136340.515,89.844,-12.695,-24.902,215.332,0.000,0
1606136340.519,112.793,-16.602,-24.902,346.680,0.000,0
1606136340.523,-44.922,-29.785,-22.949,-23.438,0.000,0
1606136340.527,-168.945,-29.785,-24.902,-372.559,0.000,0
1606136340.531,-109.863,-22.949,-25.391,-267.578,0.000,0
1606136340.535,55.176,-27.832,-26.855,168.457,0.000,0
1606136340.538,104.004,-28.809,-28.320,350.098,0.000,0
1606136340.542,-41.504,-34.668,-26.855,27.344,0.000,0
1606136340.546,-180.176,-45.898,-32.715,-359.863,0.000,0
1606136340.550,-126.465,-28.320,-33.691,-320.801,0.000,0
1606136340.554,49.805,-17.578,-20.508,117.676,0.000,0
1606136340.558,119.629,-21.484,-16.113,346.191,0.000,0
1606136340.562,-5.859,-26.855,-19.531,66.406,0.000,0
1606136340.566,-172.363,-39.062,-28.320,-351.562,0.000,0
1606136340.570,-154.785,-33.691,-35.156,-388.672,0.000,0
1606136340.574,31.738,-19.531,-26.367,40.039,0.000,0
1606136340.578,119.141,-22.949,-24.414,333.496,0.000,0
1606136340.581,8.789,-31.250,-29.785,126.465,0.000,0
1606136340.585,-150.391,-32.715,-26.367,-297.852,0.000,0
1606136340.589,-158.691,-35.645,-22.949,-394.531,0.000,0
1606136340.593,0.977,-28.320,-31.738,5.859,0.000,0
1606136340.597,107.422,-25.391,-37.598,350.098,0.000,0
1606136340.601,24.902,-34.180,-31.250,197.266,0.000,0
1606136340.605,-151.855,-40.527,-33.203,-264.160,0.000,0
1606136340.609,-187.500,-37.598,-36.621,-423.340,0.000,0
1606136340.613,-23.438,-20.508,-27.832,-59.082,0.000,0
1606136340.617,115.723,-17.090,-24.902,312.500,0.000,0
1606136340.620,62.500,-21.484,-28.809,232.910,0.000,0
1606136340.624,-119.141,-22.949,-27.832,-214.844,0.000,0
1606136340.628,-186.523,-28.320,-32.715,-422.852,0.000,0
1606136340.632,-46.387,-24.902,-29.297,-116.699,0.000,0
1606136340.636,105.957,-21.484,-21.973,288.086,0.000,0
1606136340.640,82.031,-24.902,-31.738,294.434,0.000,0
1606136340.644,-96.680,-36.621,-33.691,-139.160,0.000,0
1606136340.648,-189.453,-49.316,-35.156,-422.363,0.000,0
1606136340.652,-75.195,-37.598,-36.621,-178.711,0.000,0
1606136340.656,85.449,-20.020,-27.344,251.465,0.000,0
1606136340.660,88.867,-17.090,-22.949,321.289,0.000,0
1606136340.663,-89.844,-27.344,-28.320,-89.844,0.000,0
1606136340.667,-190.918,-37.109,-26.855,-396.973,0.000,0
1606136340.671,-94.727,-33.203,-20.996,-214.844,0.000,0
1606136340.675,70.801,-19.043,-23.438,215.332,0.000,0
1606136340.679,109.863,-12.207,-20.508,342.285,0.000,0
1606136340.683,-47.852,-23.438,-20.508,-29.785,0.000,0
1606136340.687,-187.012,-31.250,-31.738,-379.883,0.000,0
1606136340.691,-130.859,-21.973,-34.180,-272.949,0.000,0
1606136340.695,54.199,-12.695,-30.762,171.387,0.000,0
1606136340.699,107.910,-20.020,-34.180,335.449,0.000,0
1606136340.703,-40.039,-30.273,-34.180,-6.348,0.000,0
1606136340.706,-172.852,-31.250,-33.691,-369.141,0.000,0
1606136340.710,-129.883,-28.320,-36.133,-324.219,0.000,0
1606136340.714,56.152,-20.508,-31.250,111.328,0.000,0
1606136340.718,137.207,-17.578,-24.902,358.887,0.000,0
1606136340.722,10.742,-29.297,-23.438,90.332,0.000,0
1606136340.726,-142.578,-36.621,-26.855,-326.172,0.000,0
1606136340.730,-130.859,-30.273,-35.156,-367.676,0.000,0
1606136340.734,52.246,-17.578,-33.203,61.035,0.000,0
1606136340.738,152.832,-17.090,-22.461,356.934,0.000,0
1606136340.742,39.062,-20.996,-28.809,126.465,0.000,0
1606136340.745,-132.812,-28.809,-41.016,-310.059,0.000,0
1606136340.749,-143.555,-30.273,-46.387,-404.297,0.000,0
1606136340.753,28.809,-13.184,-38.574,-1.465,0.000,0
1606136340.757,135.742,-2.441,-23.926,329.102,0.000,0
1606136340.761,54.199,-9.766,-20.020,177.734,0.000,0
1606136340.765,-124.023,-32.715,-31.250,-262.207,0.000,0
1606136340.769,-165.527,-37.598,-35.156,-412.598,0.000,0
1606136340.773,9.277,-19.531,-30.762,-53.711,0.000,0
1606136340.777,139.648,-22.949,-29.297,310.547,0.000,0
1606136340.781,52.734,-34.180,-32.715,209.961,0.000,0
1606136340.785,-123.047,-34.668,-35.645,-232.910,0.000,0
1606136340.788,-177.734,-31.738,-41.504,-414.551,0.000,0
1606136340.792,-52.246,-21.484,-38.086,-109.375,0.000,0
1606136340.796,103.516,-43.945,-24.414,270.508,0.000,0
1606136340.800,77.637,-52.734,-22.949,251.953,0.000,0
1606136340.804,-104.492,-30.273,-35.645,-177.734,0.000,0
1606136340.808,-192.383,-31.738,-34.180,-421.875,0.000,0
1606136340.812,-79.102,-39.551,-28.809,-168.945,0.000,0
