timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606140772.307,-0.488,0.000,0.000,-0.488,0.000,0
1606140772.311,0.000,0.000,0.000,0.488,0.000,0
1606140772.315,0.977,-1.465,-0.977,7.324,0.000,0
1606140772.319,-6.348,1.465,1.465,-31.250,0.000,0
1606140772.322,25.391,-10.254,-9.766,132.324,0.000,0
1606140772.326,8.789,-31.250,-26.367,153.809,0.000,0
1606140772.330,-98.633,-32.227,-31.738,-273.438,0.000,0
1606140772.334,-114.258,-29.785,-36.621,-375.000,0.000,0
1606140772.338,-19.043,-25.879,-28.809,-8.789,0.000,0
1606140772.342,57.617,-21.973,-19.531,311.035,0.000,0
1606140772.346,19.043,-25.391,-20.996,188.477,0.000,0
1606140772.350,-86.426,-32.715,-29.297,-230.957,0.000,0
1606140772.354,-116.211,-34.180,-33.203,-390.625,0.000,0
1606140772.358,-27.344,-30.762,-28.320,-70.801,0.000,0
1606140772.362,64.453,-18.066,-19.043,302.734,0.000,0
1606140772.365,43.457,-14.648,-16.113,247.559,0.000,0
1606140772.369,-69.336,-24.902,-30.762,-181.152,0.000,0
1606140772.373,-111.816,-20.508,-39.062,-387.695,0.000,0
1606140772.377,-32.715,-15.137,-34.180,-110.840,0.000,0
1606140772.381,58.105,-18.066,-28.809,268.066,0.000,0
1606140772.385,48.828,-23.926,-24.414,262.207,0.000,0
1606140772.389,-54.688,-25.391,-29.297,-142.578,0.000,0
1606140772.393,-112.793,-24.902,-28.320,-394.531,0.000,0
1606140772.397,-48.340,-20.508,-25.391,-165.039,0.000,0
1606140772.401,52.246,-13.184,-27.832,250.488,0.000,0
1606140772.404,58.105,-15.625,-22.949,314.453,0.000,0
1606140772.408,-49.805,-26.855,-23.926,-69.824,0.000,0
1606140772.412,-123.047,-30.273,-27.832,-382.324,0.000,0
1606140772.416,-69.336,-28.809,-31.250,-229.004,0.000,0
1606140772.420,37.598,-20.508,-27.832,192.871,0.000,0
1606140772.424,54.199,5.371,-32.227,318.359,0.000,0
1606140772.428,-45.898,14.160,-43.945,-35.156,0.000,0
1606140772.432,-127.441,-21.484,-41.504,-387.207,0.000,0
1606140772.436,-88.379,-37.598,-33.691,-277.832,0.000,0
1606140772.440,22.461,-28.320,-31.250,160.645,0.000,0
1606140772.444,56.152,-30.273,-27.832,336.914,0.000,0
1606140772.447,-28.320,-36.133,-31.738,30.273,0.000,0
1606140772.451,-120.605,-33.691,-37.109,-344.727,0.000,0
1606140772.455,-101.562,-30.273,-27.832,-302.734,0.000,0
