timestamps,TP9,AF7,AF8,TP10,Right AUX
1606135074.555,0.000,0.000,0.000,0.000,0.000
1606135074.559,-0.488,0.000,-0.488,-1.465,0.000
1606135074.563,1.465,-0.977,-0.977,5.371,0.000
1606135074.567,-2.441,1.953,1.465,-4.883,0.000
1606135074.571,4.883,-12.207,-12.207,13.672,0.000
1606135074.575,47.363,-25.391,-34.668,180.176,0.000
1606135074.579,30.762,-20.020,-38.574,187.012,0.000
1606135074.583,-68.359,-29.785,-34.180,-103.516,0.000
1606135074.587,-110.840,-29.297,-39.062,-272.461,0.000
1606135074.591,-41.016,-19.043,-39.551,-106.445,0.000
1606135074.595,45.410,-19.531,-34.180,165.039,0.000
1606135074.598,41.992,-22.461,-38.086,189.941,0.000
1606135074.602,-56.641,-31.738,-34.668,-81.543,0.000
1606135074.606,-113.281,-34.668,-31.250,-273.438,0.000
1606135074.610,-41.016,-23.926,-26.367,-144.043,0.000
1606135074.614,47.363,-18.555,-19.043,132.324,0.000
1606135074.618,46.387,-22.461,-22.949,187.012,0.000
1606135074.622,-34.180,-36.133,-30.762,-64.941,0.000
1606135074.626,-99.121,-42.969,-30.273,-277.832,0.000
1606135074.630,-58.594,-38.574,-28.809,-192.871,0.000
1606135074.634,34.180,-33.203,-35.156,90.332,0.000
1606135074.638,47.852,-35.156,-36.133,185.547,0.000
1606135074.641,-33.691,-37.109,-33.691,-39.062,0.000
1606135074.645,-104.980,-36.621,-37.109,-274.902,0.000
1606135074.649,-80.078,-39.551,-30.273,-231.445,0.000
1606135074.653,14.648,-37.109,-26.367,56.641,0.000
1606135074.657,46.387,-29.297,-30.762,197.754,0.000
1606135074.661,-30.762,-34.180,-40.527,8.789,0.000
1606135074.665,-111.816,-42.969,-38.574,-250.977,0.000
1606135074.669,-95.703,-42.480,-28.809,-236.816,0.000
1606135074.673,0.977,-54.199,-28.320,74.219,0.000
1606135074.677,39.062,-61.523,-27.832,236.816,0.000
1606135074.680,-37.598,-43.457,-31.738,50.293,0.000
1606135074.684,-128.418,-39.551,-33.691,-224.609,0.000
1606135074.688,-126.465,-40.039,-32.227,-252.930,0.000
1606135074.692,-33.203,-38.086,-29.785,15.625,0.000
1606135074.696,25.391,-35.156,-23.926,208.496,0.000
1606135074.700,-21.973,-32.715,-18.066,95.703,0.000
