timestamps,TP9,AF7,AF8,TP10,Right AUX
1606137289.972,0.000,0.000,0.000,0.000,0.000
1606137289.976,-0.488,0.000,0.000,0.000,0.000
1606137289.980,-3.906,-1.465,-1.465,-11.719,0.000
1606137289.984,9.766,1.953,2.441,31.738,0.000
1606137289.988,-45.410,-12.695,-13.184,-142.090,0.000
1606137289.992,-92.285,-32.227,-31.738,-294.434,0.000
1606137289.996,0.000,-28.320,-21.484,22.949,0.000
1606137289.999,65.430,-20.996,-21.484,243.652,0.000
1606137290.003,3.418,-25.391,-30.273,88.379,0.000
1606137290.007,-111.328,-38.086,-35.645,-238.281,0.000
1606137290.011,-109.863,-37.109,-36.133,-311.035,0.000
1606137290.015,-10.742,-28.809,-24.414,-4.395,0.000
1606137290.019,39.551,-31.250,-21.484,229.492,0.000
1606137290.023,-2.930,-33.203,-31.738,91.309,0.000
1606137290.027,-83.008,-27.832,-37.109,-220.215,0.000
1606137290.031,-106.934,-27.344,-36.133,-324.707,0.000
1606137290.035,-45.410,-29.785,-29.785,-66.895,0.000
1606137290.039,24.902,-21.484,-26.855,210.938,0.000
1606137290.042,17.578,-23.438,-23.438,136.719,0.000
1606137290.046,-71.777,-31.250,-22.461,-187.500,0.000
1606137290.050,-140.625,-36.133,-25.391,-325.684,0.000
1606137290.054,-80.566,-35.156,-24.902,-106.934,0.000
1606137290.058,32.227,-23.438,-25.879,152.344,0.000
1606137290.062,26.367,-21.484,-25.391,142.578,0.000
1606137290.066,-86.914,-24.414,-32.227,-160.645,0.000
1606137290.070,-150.391,-28.809,-37.109,-357.422,0.000
1606137290.074,-82.031,-27.832,-29.785,-168.457,0.000
1606137290.078,19.043,-20.996,-29.297,135.254,0.000
1606137290.082,26.367,-23.438,-28.320,172.852,0.000
1606137290.085,-68.848,-25.879,-26.855,-110.352,0.000
1606137290.089,-117.188,-18.066,-35.645,-299.805,0.000
1606137290.093,-62.012,-16.113,-37.109,-169.434,0.000
1606137290.097,15.137,-17.578,-28.320,105.469,0.000
1606137290.101,34.668,-18.066,-10.742,194.824,0.000
1606137290.105,-49.316,-17.090,-14.648,-54.688,0.000
1606137290.109,-118.164,-20.020,-25.879,-306.641,0.000
1606137290.113,-82.520,-27.832,-25.391,-218.750,0.000
1606137290.117,-2.441,-26.855,-22.461,111.328,0.000
1606137290.121,4.395,-26.855,-24.414,242.676,0.000
1606137290.124,-66.406,-28.809,-30.273,-20.020,0.000
1606137290.128,-121.094,-30.762,-37.109,-306.641,0.000
1606137290.132,-104.980,-31.250,-35.645,-275.391,0.000
1606137290.136,-24.902,-23.438,-30.273,31.250,0.000
1606137290.140,10.742,-17.578,-27.344,215.332,0.000
1606137290.144,-62.012,-24.414,-29.785,14.160,0.000
1606137290.148,-139.160,-32.715,-35.156,-296.387,0.000
1606137290.152,-117.188,-36.621,-30.762,-283.691,0.000
1606137290.156,-23.438,-31.250,-24.902,18.555,0.000
1606137290.160,28.320,-25.391,-24.414,207.520,0.000
1606137290.164,-18.066,-25.391,-28.320,88.379,0.000
1606137290.167,-106.934,-31.738,-36.621,-226.562,0.000
1606137290.171,-123.535,-31.738,-41.016,-307.129,0.000
1606137290.175,-26.855,-25.879,-33.691,-6.348,0.000
1606137290.179,36.621,-17.090,-25.391,232.910,0.000
1606137290.183,-4.395,-23.438,-32.227,121.582,0.000
1606137290.187,-83.496,-20.020,-44.434,-187.012,0.000
1606137290.191,-115.723,-10.254,-38.086,-296.875,0.000
1606137290.195,-65.430,-25.879,-21.973,-46.875,0.000
1606137290.199,20.508,-27.344,-12.207,216.309,0.000
1606137290.203,22.949,-23.926,-18.555,147.461,0.000
1606137290.207,-70.801,-29.297,-26.367,-159.180,0.000
1606137290.210,-124.512,-40.527,-21.973,-296.387,0.000
1606137290.214,-44.922,-37.109,-21.973,-70.312,0.000
1606137290.218,40.039,-24.414,-15.625,213.867,0.000
1606137290.222,21.484,-24.414,-16.113,186.035,0.000
1606137290.226,-63.477,-33.691,-23.438,-123.047,0.000
1606137290.230,-111.816,-32.715,-28.809,-296.387,0.000
1606137290.234,-42.969,-32.715,-25.879,-113.281,0.000
1606137290.238,26.855,-28.809,-20.508,212.402,0.000
1606137290.242,23.438,-24.414,-23.438,218.262,0.000
1606137290.246,-61.523,-28.320,-25.391,-125.000,0.000
1606137290.249,-120.117,-33.691,-23.926,-301.758,0.000
1606137290.253,-72.266,-35.156,-18.066,-152.832,0.000
1606137290.257,-1.465,-33.691,-12.695,125.000,0.000
1606137290.261,28.320,-29.785,-14.160,208.984,0.000
1606137290.265,-48.828,-32.227,-22.461,-51.270,0.000
1606137290.269,-131.348,-41.016,-30.762,-322.754,0.000
1606137290.273,-97.168,-37.109,-29.785,-197.754,0.000
1606137290.277,8.301,-25.879,-22.461,150.391,0.000
1606137290.281,49.805,-23.926,-20.508,260.254,0.000
1606137290.285,-30.273,-30.762,-20.020,18.555,0.000
1606137290.289,-99.609,-14.648,-24.902,-269.043,0.000
1606137290.292,-78.125,-13.184,-25.391,-225.586,0.000
1606137290.296,-8.789,-28.809,-19.043,103.027,0.000
1606137290.300,31.738,-25.391,-24.414,256.836,0.000
1606137290.304,-21.973,-32.227,-28.320,61.035,0.000
1606137290.308,-89.844,-32.715,-30.762,-208.496,0.000
1606137290.312,-97.656,-28.320,-29.297,-232.422,0.000
1606137290.316,-30.273,-27.344,-22.461,55.664,0.000
1606137290.320,69.336,-24.414,-19.531,265.625,0.000
1606137290.324,19.531,-24.902,-21.973,119.629,0.000
1606137290.328,-98.145,-28.320,-30.762,-207.031,0.000
1606137290.332,-82.520,-29.785,-36.133,-274.902,0.000
1606137290.335,-26.367,-33.203,-22.949,29.297,0.000
1606137290.339,22.461,-17.578,-20.508,268.555,0.000
1606137290.343,6.348,-18.555,-24.902,149.414,0.000
1606137290.347,-99.609,-36.621,-19.043,-146.484,0.000
1606137290.351,-120.117,-40.527,-16.113,-263.184,0.000
1606137290.355,-39.062,-33.691,-12.207,-19.531,0.000
1606137290.359,13.672,-28.809,-11.719,239.746,0.000
1606137290.363,9.277,-28.320,-11.719,148.926,0.000
1606137290.367,-82.031,-29.785,-21.484,-142.578,0.000
1606137290.371,-117.676,-25.879,-29.297,-251.465,0.000
1606137290.374,-36.133,-24.902,-22.461,-57.129,0.000
1606137290.378,29.785,-25.879,-15.137,220.215,0.000
1606137290.382,21.973,-29.297,-12.695,216.309,0.000
1606137290.386,-61.523,-30.762,-15.137,-87.891,0.000
1606137290.390,-100.586,-10.742,-19.531,-289.551,0.000
1606137290.394,-51.758,-19.531,-18.555,-127.441,0.000
1606137290.398,17.578,-30.273,-15.625,186.523,0.000
1606137290.402,46.875,-23.926,-15.625,217.285,0.000
1606137290.406,-30.762,-23.926,-9.277,-68.359,0.000
1606137290.410,-127.930,-27.832,-17.578,-297.852,0.000
1606137290.414,-72.266,-33.691,-21.484,-165.039,0.000
1606137290.417,31.250,-25.879,-15.625,167.969,0.000
1606137290.421,40.039,-25.391,-20.020,228.516,0.000
1606137290.425,-39.551,-30.762,-22.461,-28.809,0.000
1606137290.429,-102.051,-16.113,-24.414,-270.996,0.000
1606137290.433,-79.102,-26.855,-26.855,-204.102,0.000
1606137290.437,1.465,-34.180,-21.484,124.512,0.000
1606137290.441,41.504,-32.227,-19.531,263.184,0.000
1606137290.445,-17.090,-35.645,-27.344,35.645,0.000
1606137290.449,-103.516,-39.551,-34.180,-256.836,0.000
1606137290.453,-76.660,-40.039,-36.133,-270.508,0.000
1606137290.457,7.324,-31.738,-28.320,67.383,0.000
1606137290.460,30.273,-31.738,-20.020,270.020,0.000
1606137290.464,-24.414,-46.387,-18.555,69.824,0.000
1606137290.468,-100.098,-20.020,-30.762,-233.398,0.000
1606137290.472,-82.031,1.953,-34.668,-278.809,0.000
1606137290.476,15.137,-27.832,-25.391,18.555,0.000
1606137290.480,49.805,-30.273,-20.020,237.305,0.000
1606137290.484,1.953,-28.320,-18.555,102.051,0.000
1606137290.488,-66.406,-38.086,-22.949,-210.938,0.000
1606137290.492,-104.004,-40.527,-29.297,-307.129,0.000
1606137290.496,-14.648,-31.250,-22.949,-9.277,0.000
1606137290.499,74.707,-27.344,-17.578,243.164,0.000
1606137290.503,33.203,-32.227,-23.926,124.023,0.000
1606137290.507,-66.406,-25.391,-27.832,-182.129,0.000
1606137290.511,-88.867,-23.438,-27.344,-298.828,0.000
1606137290.515,-27.832,-36.133,-27.832,-59.082,0.000
1606137290.519,42.480,-35.645,-24.414,210.938,0.000
1606137290.523,40.527,-37.598,-23.926,148.438,0.000
1606137290.527,-36.621,-18.066,-30.762,-166.016,0.000
1606137290.531,-73.730,-11.230,-29.785,-308.105,0.000
1606137290.535,-26.367,-30.273,-21.973,-104.004,0.000
1606137290.539,39.551,-31.250,-18.555,172.363,0.000
1606137290.542,30.273,-29.785,-23.926,161.621,0.000
1606137290.546,-59.570,-29.785,-21.484,-140.625,0.000
1606137290.550,-115.723,-37.598,-21.973,-319.336,0.000
1606137290.554,-64.453,-37.598,-24.902,-157.227,0.000
1606137290.558,33.691,-27.344,-19.043,147.461,0.000
1606137290.562,46.387,-32.715,-11.230,199.707,0.000
1606137290.566,-59.570,-29.785,-15.137,-100.098,0.000
1606137290.570,-124.512,2.930,-32.227,-331.543,0.000
1606137290.574,-66.406,-12.695,-32.715,-212.891,0.000
1606137290.578,33.203,-37.109,-25.879,99.609,0.000
1606137290.582,43.457,-33.691,-21.973,192.871,0.000
1606137290.585,-42.969,-35.156,-20.996,-82.520,0.000
1606137290.589,-109.375,-36.133,-27.344,-322.754,0.000
1606137290.593,-79.102,-36.621,-24.902,-229.004,0.000
1606137290.597,17.090,-27.344,-19.043,82.520,0.000
1606137290.601,46.875,-22.461,-18.555,213.867,0.000
1606137290.605,-10.742,-22.949,-23.438,-10.254,0.000
1606137290.609,-84.961,-22.949,-31.738,-286.133,0.000
1606137290.613,-90.332,-31.738,-31.250,-268.555,0.000
1606137290.617,-9.766,-29.297,-25.879,32.227,0.000
1606137290.621,43.945,-23.438,-28.809,210.449,0.000
1606137290.624,-11.230,-30.762,-26.855,23.438,0.000
1606137290.628,-98.633,-34.668,-24.414,-269.043,0.000
1606137290.632,-98.145,-40.039,-28.320,-289.062,0.000
1606137290.636,-12.207,-41.016,-25.879,10.254,0.000
1606137290.640,40.527,-30.762,-21.973,215.332,0.000
1606137290.644,-6.348,-28.320,-21.973,76.660,0.000
1606137290.648,-85.449,-25.879,-19.043,-215.820,0.000
1606137290.652,-99.121,-25.391,-18.555,-280.762,0.000
1606137290.656,-16.113,-33.691,-20.020,-9.766,0.000
1606137290.660,49.316,-32.227,-18.555,215.820,0.000
