timestamps,TP9,AF7,AF8,TP10,Right AUX
1606131592.818,-0.488,0.000,0.000,-0.488,0.000
1606131592.822,-1.465,-0.488,-0.488,-3.906,0.000
1606131592.826,6.836,-0.488,-0.488,21.484,0.000
1606131592.830,-9.766,0.488,0.488,-26.367,0.000
1606131592.834,31.738,-5.859,-6.836,87.891,0.000
1606131592.838,198.730,-9.766,-11.719,670.898,0.000
1606131592.842,150.879,-17.578,-15.137,619.141,0.000
1606131592.846,-163.574,-41.504,-37.109,-368.652,0.000
1606131592.850,-307.617,-52.734,-46.875,-900.391,0.000
1606131592.854,-87.891,-36.621,-26.855,-283.203,0.000
1606131592.857,201.660,-7.812,-10.742,638.184,0.000
1606131592.861,187.988,-10.742,-17.090,685.547,0.000
1606131592.865,-125.977,-37.598,-38.574,-254.395,0.000
1606131592.869,-309.082,-50.781,-51.758,-896.973,0.000
1606131592.873,-134.766,-39.551,-36.621,-410.156,0.000
1606131592.877,167.969,-18.555,-11.230,555.176,0.000
1606131592.881,199.219,-14.648,-11.719,750.000,0.000
1606131592.885,-108.398,-40.527,-38.574,-129.883,0.000
1606131592.889,-315.430,-61.523,-49.316,-861.328,0.000
1606131592.893,-167.480,-49.316,-30.273,-516.113,0.000
1606131592.897,137.207,-28.320,-5.371,458.008,0.000
1606131592.900,210.449,-21.484,-7.324,779.785,0.000
1606131592.904,-61.523,-37.598,-25.879,-6.348,0.000
1606131592.908,-299.805,-59.082,-38.086,-810.547,0.000
1606131592.912,-205.566,-53.711,-34.180,-609.863,0.000
1606131592.916,106.934,-26.367,-20.508,367.188,0.000
1606131592.920,225.586,-23.438,-14.648,815.430,0.000
1606131592.924,-9.277,-38.086,-22.949,134.766,0.000
1606131592.928,-270.508,-49.316,-31.250,-745.117,0.000
1606131592.932,-226.074,-46.875,-33.691,-703.125,0.000
1606131592.936,84.473,-3.418,-27.344,262.207,0.000
1606131592.940,233.887,15.137,-14.648,823.730,0.000
1606131592.943,19.043,-26.855,-29.297,244.141,0.000
1606131592.947,-272.461,-55.664,-49.316,-683.594,0.000
1606131592.951,-270.996,-49.316,-53.711,-779.785,0.000
1606131592.955,37.109,-20.508,-31.738,135.254,0.000
1606131592.959,234.375,-2.930,-4.883,807.129,0.000
1606131592.963,66.406,-25.879,-10.254,368.652,0.000
1606131592.967,-235.352,-48.340,-31.738,-588.867,0.000
1606131592.971,-276.855,-47.363,-49.316,-832.520,0.000
1606131592.975,6.348,-36.621,-37.109,13.672,0.000
1606131592.979,230.469,-19.043,-21.484,778.809,0.000
1606131592.982,109.375,-5.859,-23.926,486.328,0.000
1606131592.986,-199.707,-22.461,-38.574,-491.211,0.000
1606131592.990,-286.621,-40.527,-51.270,-868.164,0.000
1606131592.994,-17.578,-24.902,-28.809,-97.168,0.000
1606131592.998,242.188,-0.977,2.441,757.812,0.000
1606131593.002,160.645,-14.160,-6.348,603.027,0.000
1606131593.006,-158.203,-44.922,-36.133,-375.488,0.000
1606131593.010,-291.504,-52.246,-45.410,-868.652,0.000
1606131593.014,-62.012,-32.227,-31.738,-224.121,0.000
1606131593.018,215.820,-3.906,-19.531,673.340,0.000
1606131593.022,179.688,-9.766,-21.973,663.574,0.000
1606131593.025,-134.766,-41.016,-39.551,-289.551,0.000
1606131593.029,-294.922,-60.059,-43.945,-883.789,0.000
1606131593.033,-94.727,-40.527,-25.391,-354.492,0.000
1606131593.037,192.383,-2.441,-11.719,578.613,0.000
1606131593.041,201.660,-4.395,-15.137,717.773,0.000
1606131593.045,-95.215,-30.762,-33.203,-179.688,0.000
1606131593.049,-297.363,-43.457,-46.387,-880.371,0.000
1606131593.053,-144.531,-27.832,-32.715,-479.004,0.000
1606131593.057,163.574,-10.254,-7.324,501.465,0.000
1606131593.061,219.238,-12.695,0.000,787.598,0.000
1606131593.065,-68.848,-33.691,-26.855,-34.180,0.000
1606131593.068,-302.734,-52.246,-51.270,-824.707,0.000
1606131593.072,-190.430,-44.922,-35.156,-580.566,0.000
1606131593.076,124.023,-18.066,-7.324,401.855,0.000
