timestamps,TP9,AF7,AF8,TP10,Right AUX
1606136973.498,0.000,0.000,0.000,0.000,0.000
1606136973.502,0.488,0.000,-0.488,1.953,0.000
1606136973.506,-7.812,-1.465,-0.977,-24.414,0.000
1606136973.510,16.113,2.930,1.953,47.363,0.000
1606136973.514,-68.359,-15.137,-11.719,-192.383,0.000
1606136973.518,-203.613,-38.086,-29.297,-655.273,0.000
1606136973.522,-87.891,-30.273,-20.020,-330.078,0.000
1606136973.526,114.258,-20.508,-10.742,405.762,0.000
1606136973.530,137.207,-12.695,-20.508,556.152,0.000
1606136973.534,-54.199,-27.344,-38.574,-82.031,0.000
1606136973.537,-202.148,-38.086,-38.574,-643.555,0.000
1606136973.541,-117.676,-26.855,-34.668,-410.645,0.000
