timestamps,TP9,AF7,AF8,TP10,Right AUX
1606141826.044,0.000,-0.488,-0.488,0.000,0.000
1606141826.048,-0.977,-0.488,-0.488,-2.441,0.000
1606141826.052,-1.465,1.465,0.977,-7.324,0.000
1606141826.056,11.230,-3.418,-2.441,47.363,0.000
1606141826.060,-44.922,18.066,13.672,-188.477,0.000
1606141826.063,23.926,56.152,46.875,34.180,0.000
1606141826.067,217.773,67.383,48.340,750.977,0.000
1606141826.071,131.348,59.570,35.645,485.840,0.000
1606141826.075,-112.305,42.480,32.715,-388.672,0.000
1606141826.079,-172.363,34.180,36.621,-685.547,0.000
1606141826.083,22.949,41.016,39.062,-10.254,0.000
1606141826.087,231.934,68.359,39.062,737.305,0.000
1606141826.091,185.547,76.660,32.227,583.496,0.000
1606141826.095,-72.754,58.105,15.137,-309.570,0.000
1606141826.099,-180.176,52.246,3.906,-729.980,0.000
1606141826.103,-8.789,64.453,9.277,-148.926,0.000
1606141826.106,201.660,83.496,13.672,658.691,0.000
1606141826.110,199.219,100.586,3.418,660.156,0.000
1606141826.114,-24.414,84.961,-9.766,-195.312,0.000
1606141826.118,-168.457,58.105,-13.672,-740.234,0.000
1606141826.122,-42.969,54.688,-0.977,-267.578,0.000
1606141826.126,185.059,72.754,7.812,594.238,0.000
1606141826.130,229.492,85.938,5.371,730.469,0.000
1606141826.134,11.719,66.895,2.930,-73.730,0.000
1606141826.138,-155.762,56.152,-4.395,-721.191,0.000
1606141826.142,-47.852,70.312,5.371,-364.746,0.000
1606141826.145,191.895,83.008,11.719,534.180,0.000
1606141826.149,244.141,89.355,2.930,801.758,0.000
1606141826.153,41.992,77.637,0.488,70.801,0.000
1606141826.157,-137.207,57.129,-2.930,-671.875,0.000
1606141826.161,-61.035,57.129,-6.348,-449.219,0.000
1606141826.165,172.363,76.660,12.695,480.957,0.000
1606141826.169,256.348,74.219,26.367,866.211,0.000
1606141826.173,93.750,64.453,12.207,221.191,0.000
1606141826.177,-100.586,54.688,3.418,-582.031,0.000
1606141826.181,-77.148,51.270,8.789,-525.391,0.000
1606141826.185,153.320,76.660,20.996,383.301,0.000
1606141826.188,266.602,83.984,28.320,907.715,0.000
1606141826.192,124.023,72.754,19.531,368.164,0.000
1606141826.196,-85.449,60.059,9.277,-513.184,0.000
1606141826.200,-109.863,50.781,8.301,-597.656,0.000
1606141826.204,130.859,67.383,21.973,291.504,0.000
1606141826.208,290.039,78.613,29.785,949.219,0.000
1606141826.212,151.367,67.871,15.137,514.160,0.000
1606141826.216,-83.008,52.734,1.953,-454.102,0.000
1606141826.220,-125.977,42.969,3.906,-668.945,0.000
1606141826.224,87.402,54.199,20.020,165.527,0.000
1606141826.228,277.832,70.312,26.855,909.668,0.000
1606141826.231,199.707,62.988,14.648,614.258,0.000
1606141826.235,-69.336,37.598,11.230,-335.938,0.000
1606141826.239,-151.367,34.180,8.301,-701.660,0.000
1606141826.243,61.523,51.270,15.137,38.574,0.000
1606141826.247,231.445,54.688,27.832,808.105,0.000
1606141826.251,168.457,43.945,21.973,628.906,0.000
1606141826.255,-44.434,28.809,12.207,-242.188,0.000
1606141826.259,-158.691,53.223,6.348,-729.004,0.000
1606141826.263,9.277,79.590,8.301,-132.324,0.000
1606141826.267,245.605,66.895,21.484,757.812,0.000
1606141826.270,239.746,64.453,31.738,797.852,0.000
1606141826.274,-6.348,49.805,27.344,-127.930,0.000
1606141826.278,-151.855,36.621,9.766,-757.812,0.000
1606141826.282,-18.066,45.410,22.949,-239.258,0.000
1606141826.286,227.539,57.617,50.293,706.543,0.000
1606141826.290,253.906,57.129,45.898,885.742,0.000
1606141826.294,-0.488,40.039,32.227,20.508,0.000
1606141826.298,-164.551,31.250,21.973,-716.309,0.000
1606141826.302,-63.965,36.621,16.602,-338.867,0.000
1606141826.306,179.199,47.363,20.508,605.957,0.000
1606141826.310,236.816,75.195,25.879,915.039,0.000
1606141826.313,2.930,71.289,15.137,116.699,0.000
1606141826.317,-201.660,44.922,-1.953,-746.094,0.000
1606141826.321,-150.391,36.133,6.348,-530.762,0.000
1606141826.325,89.844,41.504,26.367,469.727,0.000
1606141826.329,173.828,49.316,30.273,891.602,0.000
1606141826.333,-22.461,39.062,13.672,169.922,0.000
1606141826.337,-235.352,18.555,3.906,-706.543,0.000
1606141826.341,-204.102,15.137,3.418,-650.879,0.000
1606141826.345,47.852,31.250,12.207,310.547,0.000
1606141826.349,178.711,32.715,21.484,900.879,0.000
1606141826.353,44.922,34.668,8.789,324.219,0.000
1606141826.356,-178.223,19.531,-2.441,-627.441,0.000
1606141826.360,-199.707,52.734,2.930,-718.262,0.000
1606141826.364,50.293,93.262,11.719,218.750,0.000
1606141826.368,234.863,54.688,15.625,922.363,0.000
1606141826.372,130.859,32.715,5.859,491.699,0.000
1606141826.376,-116.211,22.461,-12.207,-522.949,0.000
1606141826.380,-154.297,17.578,-4.395,-755.371,0.000
1606141826.384,48.340,24.414,16.113,117.676,0.000
1606141826.388,198.730,35.156,19.043,869.141,0.000
1606141826.392,116.699,31.738,12.207,554.688,0.000
1606141826.395,-147.949,13.672,-0.488,-462.891,0.000
1606141826.399,-237.305,2.441,-3.418,-849.609,0.000
1606141826.403,-37.109,1.953,10.254,-91.797,0.000
1606141826.407,168.457,35.156,19.043,758.301,0.000
1606141826.411,130.859,78.613,17.090,621.094,0.000
1606141826.415,-128.418,38.086,7.324,-354.004,0.000
1606141826.419,-239.746,6.836,-2.441,-853.516,0.000
1606141826.423,-42.480,28.320,11.230,-209.473,0.000
1606141826.427,178.223,45.898,25.879,717.285,0.000
1606141826.431,170.410,42.969,18.555,744.141,0.000
1606141826.435,-64.941,21.973,0.977,-196.777,0.000
1606141826.438,-216.797,11.719,-8.301,-819.824,0.000
1606141826.442,-89.844,18.555,6.836,-300.293,0.000
1606141826.446,164.551,34.180,19.531,661.621,0.000
1606141826.450,204.102,32.227,11.719,799.316,0.000
1606141826.454,-48.340,6.836,15.625,-74.219,0.000
1606141826.458,-218.262,4.395,1.465,-800.293,0.000
1606141826.462,-111.328,18.066,-14.160,-474.121,0.000
1606141826.466,131.348,29.297,9.277,513.184,0.000
1606141826.470,192.871,36.133,22.949,826.660,0.000
1606141826.474,-16.602,23.926,3.418,18.066,0.000
1606141826.478,-207.031,12.207,-7.812,-796.875,0.000
1606141826.481,-138.184,19.043,0.488,-583.496,0.000
1606141826.485,126.465,43.457,8.301,413.574,0.000
1606141826.489,239.746,53.223,11.230,866.699,0.000
1606141826.493,53.223,31.738,12.207,189.453,0.000
1606141826.497,-168.945,17.090,0.000,-703.613,0.000
1606141826.501,-146.973,17.090,-2.441,-664.062,0.000
1606141826.505,104.980,29.297,12.695,324.707,0.000
1606141826.509,244.141,40.527,20.996,906.738,0.000
1606141826.513,80.078,30.762,19.531,329.590,0.000
1606141826.517,-144.043,20.020,1.953,-627.441,0.000
1606141826.520,-154.785,18.066,0.488,-728.027,0.000
1606141826.524,54.688,27.832,15.625,184.082,0.000
1606141826.528,218.262,40.527,17.090,854.492,0.000
1606141826.532,115.723,37.109,3.906,452.637,0.000
1606141826.536,-135.742,20.996,-3.906,-507.324,0.000
1606141826.540,-199.707,24.902,-8.301,-791.016,0.000
1606141826.544,22.949,38.086,0.488,33.691,0.000
1606141826.548,214.844,38.574,13.184,820.801,0.000
1606141826.552,114.746,32.227,10.254,525.879,0.000
1606141826.556,-143.066,7.812,-1.953,-462.402,0.000
1606141826.560,-208.008,0.000,-11.230,-845.703,0.000
1606141826.563,-4.395,18.066,3.906,-104.980,0.000
1606141826.567,205.566,36.133,15.625,771.484,0.000
1606141826.571,152.832,31.250,10.742,651.855,0.000
1606141826.575,-105.957,13.672,-4.883,-338.379,0.000
1606141826.579,-231.934,9.766,-13.184,-867.188,0.000
1606141826.583,-46.387,25.391,0.000,-232.422,0.000
1606141826.587,202.637,38.086,9.766,713.379,0.000
1606141826.591,190.430,37.109,9.277,733.887,0.000
1606141826.595,-60.547,25.879,0.000,-213.379,0.000
1606141826.599,-190.918,25.879,-8.301,-838.867,0.000
1606141826.603,-50.781,37.598,0.000,-362.305,0.000
1606141826.606,189.453,41.016,15.625,598.145,0.000
1606141826.610,225.098,45.898,10.254,771.973,0.000
1606141826.614,-26.855,42.480,-3.418,-119.141,0.000
1606141826.618,-209.473,27.344,-1.953,-847.656,0.000
1606141826.622,-99.609,26.367,9.277,-487.305,0.000
1606141826.626,131.348,38.574,23.438,510.742,0.000
1606141826.630,183.105,42.969,20.996,833.008,0.000
1606141826.634,-24.902,24.414,13.184,57.617,0.000
1606141826.638,-215.820,6.348,-0.488,-771.973,0.000
1606141826.642,-142.090,14.160,-2.441,-595.215,0.000
1606141826.645,116.699,35.156,17.578,420.898,0.000
1606141826.649,230.957,39.551,22.461,878.418,0.000
1606141826.653,56.641,23.926,11.230,218.262,0.000
1606141826.657,-166.992,16.113,-1.953,-674.805,0.000
1606141826.661,-128.418,26.855,-2.930,-646.484,0.000
1606141826.665,115.723,39.551,16.113,319.336,0.000
1606141826.669,244.141,43.945,19.043,871.094,0.000
1606141826.673,96.680,33.691,13.672,333.008,0.000
1606141826.677,-142.578,19.043,2.930,-584.473,0.000
1606141826.681,-153.320,24.414,-5.859,-711.914,0.000
1606141826.685,70.312,36.621,9.766,168.457,0.000
1606141826.688,212.891,37.598,19.043,831.055,0.000
1606141826.692,115.234,27.832,11.719,419.922,0.000
1606141826.696,-130.859,15.137,-1.465,-541.016,0.000
1606141826.700,-192.871,16.602,-2.441,-783.691,0.000
1606141826.704,36.133,27.344,9.277,26.367,0.000
1606141826.708,195.801,25.879,14.648,758.789,0.000
1606141826.712,114.258,18.066,11.719,493.164,0.000
1606141826.716,-116.211,6.348,1.953,-438.477,0.000
1606141826.720,-209.473,1.465,-4.395,-795.410,0.000
1606141826.724,-25.391,17.090,7.812,-91.309,0.000
1606141826.728,166.992,28.809,16.602,711.914,0.000
1606141826.731,146.484,24.414,5.371,591.797,0.000
1606141826.735,-76.660,13.672,-6.348,-316.406,0.000
1606141826.739,-207.031,16.113,-11.230,-786.621,0.000
1606141826.743,-59.570,24.414,-7.324,-210.449,0.000
1606141826.747,171.387,28.320,7.324,664.062,0.000
1606141826.751,184.570,39.062,11.230,714.844,0.000
1606141826.755,-38.086,29.785,-2.930,-158.203,0.000
1606141826.759,-169.922,15.137,-11.230,-763.672,0.000
1606141826.763,-78.125,18.066,0.000,-327.637,0.000
1606141826.767,120.117,29.785,13.672,582.520,0.000
1606141826.770,170.898,32.715,12.695,756.348,0.000
1606141826.774,-49.316,13.672,0.000,-75.195,0.000
