timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606130959.857,0.000,0.000,0.000,-0.488,0.000,0
1606130959.861,-0.488,0.000,-0.488,-0.977,0.000,0
1606130959.865,0.977,-0.977,-0.977,4.883,0.000,0
1606130959.869,-2.441,1.953,1.465,-7.812,0.000,0
1606130959.872,3.906,-10.742,-10.742,25.391,0.000,0
1606130959.876,39.062,-26.367,-25.391,135.742,0.000,0
1606130959.880,15.625,-22.461,-29.785,86.426,0.000,0
1606130959.884,-67.871,-26.367,-35.156,-127.930,0.000,0
1606130959.888,-91.797,-26.367,-29.785,-204.590,0.000,0
1606130959.892,-34.180,-21.973,-22.461,-41.504,0.000,0
1606130959.896,28.809,-26.367,-19.531,132.812,0.000,0
1606130959.900,7.324,-30.273,-24.414,99.609,0.000,0
1606130959.904,-73.730,-33.203,-28.809,-106.934,0.000,0
1606130959.908,-106.934,-40.039,-28.809,-205.566,0.000,0
1606130959.912,-59.082,-42.480,-24.902,-67.871,0.000,0
1606130959.915,18.066,-31.250,-16.113,124.512,0.000,0
1606130959.919,19.531,-26.367,-20.508,126.465,0.000,0
1606130959.923,-64.453,-28.320,-28.320,-71.289,0.000,0
1606130959.927,-110.352,-33.691,-26.855,-184.082,0.000,0
1606130959.931,-66.895,-33.691,-25.391,-79.590,0.000,0
1606130959.935,10.254,-26.855,-19.531,105.957,0.000,0
1606130959.939,16.113,-29.297,-17.090,133.789,0.000,0
1606130959.943,-52.246,-35.645,-24.902,-57.129,0.000,0
1606130959.947,-85.938,-37.109,-29.785,-196.289,0.000,0
1606130959.951,-53.711,-39.062,-28.809,-108.398,0.000,0
1606130959.954,13.184,-36.621,-22.949,87.891,0.000,0
1606130959.958,35.645,-28.809,-18.066,145.020,0.000,0
1606130959.962,-33.203,-31.250,-21.484,-26.367,0.000,0
1606130959.966,-95.703,-38.574,-26.855,-192.383,0.000,0
1606130959.970,-63.965,-30.762,-26.855,-143.066,0.000,0
1606130959.974,13.672,17.090,-23.926,70.801,0.000,0
1606130959.978,32.227,28.320,-25.391,148.438,0.000,0
1606130959.982,-30.273,-17.578,-35.645,-23.926,0.000,0
1606130959.986,-90.820,-38.086,-37.598,-196.289,0.000,0
1606130959.990,-74.707,-38.086,-37.109,-165.039,0.000,0
1606130959.994,1.465,-36.133,-37.598,43.457,0.000,0
1606130959.997,42.480,-27.832,-30.273,150.879,0.000,0
1606130960.001,-9.766,-32.715,-37.598,13.672,0.000,0
1606130960.005,-81.543,-39.551,-41.504,-170.410,0.000,0
1606130960.009,-76.172,-37.109,-36.133,-167.480,0.000,0
1606130960.013,1.465,-34.180,-32.715,35.156,0.000,0
1606130960.017,46.875,-25.391,-20.020,161.621,0.000,0
1606130960.021,-3.418,-15.625,-19.043,53.711,0.000,0
1606130960.025,-86.914,-20.020,-29.785,-148.438,0.000,0
1606130960.029,-94.238,-32.715,-28.320,-185.547,0.000,0
1606130960.033,-20.508,-28.320,-21.973,-0.488,0.000,0
1606130960.037,31.250,-21.484,-18.066,147.461,0.000,0
1606130960.040,-9.766,-33.691,-20.996,73.242,0.000,0
1606130960.044,-96.680,-46.875,-27.344,-132.324,0.000,0
1606130960.048,-114.746,-42.969,-24.902,-196.289,0.000,0
1606130960.052,-34.668,-30.762,-12.207,-23.926,0.000,0
1606130960.056,27.832,-24.902,-8.301,138.184,0.000,0
