timestamps,TP9,AF7,AF8,TP10,Right AUX
1606135707.968,-0.488,0.000,0.000,-0.488,0.000
1606135707.972,-0.488,-0.488,0.000,-0.488,0.000
1606135707.976,3.906,-0.488,-0.977,15.137,0.000
1606135707.980,-11.719,0.488,0.977,-39.551,0.000
1606135707.983,49.805,-7.324,-8.789,167.969,0.000
1606135707.987,100.586,-17.578,-26.367,394.531,0.000
1606135707.991,-11.719,-26.367,-30.762,6.348,0.000
1606135707.995,-106.445,-32.227,-36.133,-414.062,0.000
1606135707.999,-82.520,-30.273,-28.320,-308.105,0.000
1606135708.003,43.945,-28.809,-12.695,194.824,0.000
1606135708.007,96.680,-31.250,-11.230,412.598,0.000
1606135708.011,-6.836,-36.133,-20.020,61.523,0.000
