timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606127478.319,-0.488,-0.488,0.000,0.000,0.000,0
1606127478.323,0.000,0.000,0.000,0.488,0.000,0
1606127478.327,0.000,0.000,-3.418,-5.371,0.000,0
1606127478.331,-0.977,-1.465,7.324,9.766,0.000,0
1606127478.335,8.789,9.277,-39.062,-39.062,0.000,0
1606127478.339,28.809,23.438,-104.004,-136.230,0.000,0
1606127478.342,57.129,29.785,-86.914,-71.777,0.000,0
1606127478.346,98.633,33.203,-70.801,74.219,0.000,0
1606127478.350,120.605,20.020,-71.289,96.191,0.000,0
1606127478.354,99.609,11.230,-77.148,-26.855,0.000,0
1606127478.358,77.637,8.789,-79.590,-137.695,0.000,0
1606127478.362,97.168,7.324,-73.242,-99.121,0.000,0
1606127478.366,128.418,10.254,-62.500,49.805,0.000,0
1606127478.370,118.652,5.371,-60.059,94.238,0.000,0
1606127478.374,91.797,-3.906,-70.312,-15.625,0.000,0
1606127478.378,66.895,-20.020,-83.008,-138.672,0.000,0
1606127478.382,56.152,-24.414,-83.008,-116.699,0.000,0
1606127478.385,83.984,-9.766,-69.824,34.180,0.000,0
1606127478.389,114.258,-13.184,-67.871,91.309,0.000,0
1606127478.393,79.102,-32.715,-77.637,-12.207,0.000,0
1606127478.397,33.203,-48.828,-83.984,-144.043,0.000,0
1606127478.401,33.203,-47.363,-87.402,-138.184,0.000,0
1606127478.405,47.852,-33.691,-79.102,-1.465,0.000,0
1606127478.409,43.457,-37.598,-71.289,85.449,0.000,0
1606127478.413,8.789,-49.805,-95.215,5.371,0.000,0
1606127478.417,-24.414,-51.758,-117.188,-141.602,0.000,0
1606127478.421,-9.277,-46.387,-111.816,-146.973,0.000,0
1606127478.425,25.391,-38.574,-98.145,-9.277,0.000,0
1606127478.428,43.945,-40.039,-90.820,73.730,0.000,0
1606127478.432,31.738,-45.410,-90.820,8.789,0.000,0
1606127478.436,-1.953,-41.992,-102.539,-127.930,0.000,0
1606127478.440,-5.859,-45.410,-109.375,-155.273,0.000,0
1606127478.444,14.160,-51.270,-105.469,-43.945,0.000,0
1606127478.448,31.738,-41.016,-100.098,63.965,0.000,0
1606127478.452,20.996,-42.969,-100.098,28.320,0.000,0
1606127478.456,-21.973,-62.988,-116.211,-131.836,0.000,0
1606127478.460,-39.062,-66.895,-117.676,-186.035,0.000,0
1606127478.464,-4.395,-52.734,-99.121,-63.477,0.000,0
1606127478.467,23.926,-43.945,-91.797,60.547,0.000,0
1606127478.471,4.395,-49.316,-93.262,35.645,0.000,0
1606127478.475,-41.992,-63.965,-99.609,-107.422,0.000,0
1606127478.479,-57.129,-62.012,-108.887,-189.453,0.000,0
1606127478.483,-17.090,-30.273,-101.562,-91.309,0.000,0
1606127478.487,19.531,-26.367,-75.195,69.336,0.000,0
1606127478.491,-9.766,-56.152,-63.477,74.219,0.000,0
1606127478.495,-71.289,-74.707,-71.777,-110.840,0.000,0
1606127478.499,-104.004,-72.754,-72.266,-217.285,0.000,0
1606127478.503,-90.820,-65.918,-58.594,-123.535,0.000,0
1606127478.507,-63.477,-59.570,-40.039,8.789,0.000,0
1606127478.510,-78.613,-66.895,-35.645,18.555,0.000,0
1606127478.514,-130.371,-89.844,-39.062,-120.117,0.000,0
1606127478.518,-148.438,-97.168,-45.898,-220.215,0.000,0
1606127478.522,-120.605,-94.238,-41.992,-141.113,0.000,0
1606127478.526,-82.031,-83.984,-19.043,23.926,0.000,0
1606127478.530,-68.848,-82.031,-14.160,71.777,0.000,0
1606127478.534,-113.770,-85.938,-25.391,-51.758,0.000,0
1606127478.538,-141.113,-92.285,-28.809,-163.574,0.000,0
1606127478.542,-107.422,-109.863,-24.902,-107.422,0.000,0
1606127478.546,-57.617,-95.703,-20.020,50.781,0.000,0
1606127478.550,-30.762,-82.031,-19.043,109.863,0.000,0
1606127478.553,-69.336,-98.633,-34.668,-7.324,0.000,0
1606127478.557,-107.422,-109.863,-49.316,-139.160,0.000,0
1606127478.561,-79.102,-95.703,-44.922,-112.793,0.000,0
1606127478.565,-23.926,-75.195,-31.738,47.852,0.000,0
1606127478.569,-11.719,-75.195,-27.832,121.582,0.000,0
1606127478.573,-36.621,-84.961,-41.504,29.297,0.000,0
1606127478.577,-67.383,-90.332,-56.152,-106.934,0.000,0
1606127478.581,-64.941,-91.309,-58.594,-118.652,0.000,0
