timestamps,TP9,AF7,AF8,TP10,Right AUX
1606131909.449,0.000,0.000,0.000,0.000,0.000
1606131909.453,-0.977,-0.488,0.000,-1.953,0.000
1606131909.457,-0.977,-0.977,-0.977,-1.953,0.000
1606131909.461,11.719,2.441,1.465,29.297,0.000
1606131909.465,-50.781,-14.160,-10.254,-122.070,0.000
1606131909.469,45.898,-23.926,-24.414,125.488,0.000
1606131909.473,203.125,-13.672,-26.855,553.711,0.000
1606131909.477,37.598,-25.879,-36.621,174.805,0.000
1606131909.480,-215.332,-33.691,-38.086,-464.844,0.000
1606131909.484,-230.469,-34.668,-25.391,-529.297,0.000
1606131909.488,38.574,-24.902,-13.672,111.816,0.000
1606131909.492,216.309,-14.160,-15.137,575.195,0.000
1606131909.496,91.309,-22.949,-24.414,274.414,0.000
1606131909.500,-152.832,-39.062,-39.551,-365.234,0.000
1606131909.504,-188.965,-37.109,-43.945,-506.348,0.000
1606131909.508,58.105,-20.508,-28.809,70.312,0.000
1606131909.512,246.094,-10.742,-19.043,572.754,0.000
1606131909.516,155.762,-7.812,-14.160,373.535,0.000
1606131909.520,-95.703,-27.832,-27.832,-276.367,0.000
1606131909.523,-181.152,-41.992,-49.805,-527.344,0.000
1606131909.527,39.062,-25.391,-38.086,-17.090,0.000
1606131909.531,257.812,-2.930,-15.137,541.504,0.000
1606131909.535,178.711,-11.230,-27.344,427.246,0.000
1606131909.539,-72.266,-38.086,-44.922,-229.492,0.000
1606131909.543,-178.711,-47.852,-42.480,-543.945,0.000
1606131909.547,-6.836,-29.785,-27.344,-96.191,0.000
1606131909.551,232.910,-4.883,-17.578,506.836,0.000
1606131909.555,209.961,-8.301,-21.484,490.234,0.000
1606131909.559,-51.758,-32.227,-34.180,-148.438,0.000
1606131909.563,-186.035,-36.133,-38.574,-541.016,0.000
1606131909.566,-30.762,9.766,-25.879,-174.316,0.000
1606131909.570,194.336,27.832,-25.879,438.965,0.000
1606131909.574,201.660,-12.207,-28.320,507.324,0.000
1606131909.578,-46.387,-46.387,-38.574,-85.449,0.000
1606131909.582,-216.309,-55.664,-45.410,-541.992,0.000
1606131909.586,-90.332,-41.504,-35.645,-271.484,0.000
1606131909.590,165.527,-24.414,-17.578,375.000,0.000
1606131909.594,209.473,-18.066,-15.137,557.617,0.000
1606131909.598,-22.461,-27.344,-37.109,11.230,0.000
1606131909.602,-213.867,-44.922,-44.922,-523.926,0.000
1606131909.605,-125.000,-41.016,-30.273,-344.727,0.000
1606131909.609,131.836,-33.203,-15.625,315.918,0.000
1606131909.613,217.285,-4.883,-18.066,571.289,0.000
1606131909.617,9.766,2.930,-35.156,77.148,0.000
1606131909.621,-213.867,-45.898,-50.781,-494.629,0.000
1606131909.625,-162.109,-49.805,-41.016,-415.527,0.000
1606131909.629,98.633,-23.926,-24.414,231.934,0.000
1606131909.633,210.449,-16.602,-24.902,563.965,0.000
1606131909.637,36.133,-28.809,-35.645,149.414,0.000
1606131909.641,-188.965,-41.992,-44.434,-447.266,0.000
1606131909.645,-180.664,-40.527,-46.875,-469.727,0.000
1606131909.648,65.430,-26.855,-39.551,146.973,0.000
1606131909.652,217.773,-17.090,-24.414,560.059,0.000
1606131909.656,68.359,-25.391,-32.227,227.539,0.000
1606131909.660,-175.293,-49.316,-53.223,-398.926,0.000
1606131909.664,-192.871,-25.391,-51.270,-507.324,0.000
1606131909.668,32.227,15.137,-38.574,57.129,0.000
1606131909.672,200.684,-7.324,-29.785,517.090,0.000
1606131909.676,94.238,-30.273,-27.832,283.691,0.000
1606131909.680,-153.320,-39.062,-39.062,-350.586,0.000
1606131909.684,-208.496,-40.039,-44.434,-544.434,0.000
1606131909.688,-2.441,-34.668,-27.832,-36.621,0.000
1606131909.691,190.430,-17.578,-19.043,478.027,0.000
1606131909.695,117.188,-21.484,-29.297,340.332,0.000
1606131909.699,-143.066,-45.410,-46.387,-299.805,0.000
1606131909.703,-229.980,-50.293,-46.387,-583.496,0.000
1606131909.707,-24.902,-31.738,-28.809,-118.164,0.000
1606131909.711,188.965,-22.949,-14.648,457.031,0.000
1606131909.715,142.090,-0.488,-20.020,404.297,0.000
1606131909.719,-114.258,-13.184,-32.715,-224.609,0.000
1606131909.723,-238.281,-58.105,-37.598,-576.660,0.000
1606131909.727,-77.148,-47.852,-31.738,-195.312,0.000
1606131909.730,156.250,-28.809,-16.113,411.133,0.000
1606131909.734,157.227,-26.855,-12.207,451.660,0.000
1606131909.738,-88.379,-41.016,-22.949,-153.809,0.000
1606131909.742,-254.395,-50.293,-31.738,-589.844,0.000
1606131909.746,-109.863,-39.551,-23.926,-291.016,0.000
1606131909.750,131.836,-27.344,-14.648,323.242,0.000
1606131909.754,164.062,-19.531,-17.578,461.426,0.000
1606131909.758,-52.246,-31.738,-26.855,-67.383,0.000
1606131909.762,-243.652,-51.758,-33.203,-571.777,0.000
1606131909.766,-144.043,-2.930,-28.809,-368.652,0.000
1606131909.770,115.234,30.762,-16.602,286.621,0.000
1606131909.773,187.988,-10.254,-12.695,520.996,0.000
1606131909.777,-16.602,-30.273,-23.438,11.230,0.000
1606131909.781,-226.074,-42.480,-35.156,-542.969,0.000
1606131909.785,-159.180,-38.086,-33.203,-430.664,0.000
1606131909.789,99.121,-18.066,-7.812,223.633,0.000
1606131909.793,193.848,-15.137,-4.883,535.645,0.000
1606131909.797,19.043,-30.273,-29.785,100.586,0.000
1606131909.801,-215.332,-41.504,-37.598,-484.375,0.000
1606131909.805,-206.055,-38.086,-33.203,-478.027,0.000
1606131909.809,50.293,-25.391,-25.391,139.160,0.000
1606131909.813,190.430,-6.348,-21.484,534.668,0.000
1606131909.816,41.992,6.348,-29.297,195.801,0.000
1606131909.820,-206.055,-26.855,-43.457,-444.336,0.000
1606131909.824,-224.609,-42.480,-41.016,-541.504,0.000
1606131909.828,26.855,-19.531,-24.902,68.359,0.000
