timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1606143853.891,370.117,-13.184,-3.906,-973.633,0.000,0
1606143853.895,238.281,-11.719,-4.883,730.957,0.000,0
1606143853.899,-274.902,-34.180,-33.203,-439.941,0.000,0
1606143853.903,-494.141,-51.270,-48.828,-1000.000,0.000,0
1606143853.907,-111.816,-35.156,-25.879,-266.113,0.000,0
1606143853.911,336.914,-16.113,-0.977,940.430,0.000,0
1606143853.915,285.645,-23.926,-6.348,826.172,0.000,0
1606143853.919,-212.402,-45.410,-32.715,-320.801,0.000,0
1606143853.922,-478.516,-52.246,-46.387,-1000.000,0.000,0
1606143853.926,-150.391,-37.598,-30.273,-432.617,0.000,0
1606143853.930,328.125,-9.766,-1.465,812.012,0.000,0
1606143853.934,349.121,-2.441,-0.977,915.039,0.000,0
1606143853.938,-141.602,-32.227,-30.273,-212.891,0.000,0
1606143853.942,-466.309,-46.387,-47.363,-1000.000,0.000,0
1606143853.946,-208.984,-33.691,-40.527,-568.359,0.000,0
1606143853.950,294.434,-9.277,-9.277,668.945,0.000,0
1606143853.954,393.066,1.465,-0.488,-996.582,0.000,0
1606143853.958,-79.102,-38.086,-27.832,-75.195,0.000,0
1606143853.962,-465.820,-62.988,-49.316,-1000.000,0.000,0
1606143853.965,-267.578,-43.945,-46.875,-685.059,0.000,0
1606143853.969,247.559,-13.184,-11.719,516.113,0.000,0
1606143853.973,406.738,0.488,7.324,-946.289,0.000,0
1606143853.977,-22.949,-21.973,-29.785,55.176,0.000,0
1606143853.981,-446.777,-45.410,-64.453,-1000.000,0.000,0
1606143853.985,-325.195,-41.504,-55.664,-789.551,0.000,0
1606143853.989,190.918,-20.508,-21.973,372.559,0.000,0
1606143853.993,408.203,-5.859,-12.695,-910.156,0.000,0
1606143853.997,31.738,-11.719,-33.203,229.004,0.000,0
1606143854.001,-414.551,-36.621,-61.035,-965.332,0.000,0
1606143854.004,-367.676,-42.969,-62.988,-878.906,0.000,0
1606143854.008,128.418,-21.484,-27.344,260.254,0.000,0
1606143854.012,404.297,-12.695,-3.906,-896.973,0.000,0
1606143854.016,89.355,-28.320,-14.648,395.020,0.000,0
1606143854.020,-394.043,-41.992,-46.387,-841.309,0.000,0
1606143854.024,-421.387,-44.434,-43.457,-965.820,0.000,0
1606143854.028,73.730,-25.391,-15.137,146.484,0.000,0
1606143854.032,411.133,-2.930,-2.930,-906.250,0.000,0
1606143854.036,155.273,-18.066,-19.043,543.945,0.000,0
1606143854.040,-342.773,-46.387,-38.086,-692.383,0.000,0
1606143854.044,-434.570,-45.410,-38.574,-1000.000,0.000,0
1606143854.047,29.297,-26.367,-17.578,28.320,0.000,0
1606143854.051,408.203,-16.602,11.719,-932.617,0.000,0
1606143854.055,217.773,-31.250,0.488,649.414,0.000,0
1606143854.059,-295.898,-54.688,-40.039,-544.434,0.000,0
1606143854.063,-458.496,-51.758,-56.641,-1000.000,0.000,0
1606143854.067,-32.715,-21.973,-27.344,-136.719,0.000,0
1606143854.071,388.672,2.441,0.488,-988.770,0.000,0
1606143854.075,270.020,-8.301,-5.859,750.000,0.000,0
1606143854.079,-250.488,-39.062,-35.156,-415.527,0.000,0
1606143854.083,-478.516,-47.852,-56.152,-1000.000,0.000,0
1606143854.087,-99.609,-34.668,-31.738,-297.852,0.000,0
1606143854.090,361.816,-12.695,-1.465,919.434,0.000,0
1606143854.094,317.383,-8.301,-9.766,850.098,0.000,0
1606143854.098,-193.359,-39.062,-36.133,-292.969,0.000,0
1606143854.102,-479.980,-56.641,-50.781,-1000.000,0.000,0
1606143854.106,-169.434,-43.945,-38.086,-458.496,0.000,0
1606143854.110,309.570,-19.531,-13.672,788.086,0.000,0
1606143854.114,344.727,-8.301,-4.395,930.664,0.000,0
1606143854.118,-148.926,-31.250,-25.879,-191.895,0.000,0
1606143854.122,-488.281,-46.875,-48.828,-1000.000,0.000,0
1606143854.126,-233.398,-35.156,-38.086,-599.609,0.000,0
1606143854.129,265.137,-15.137,-13.672,631.836,0.000,0
1606143854.133,371.094,-9.766,-7.324,-988.281,0.000,0
1606143854.137,-76.660,-33.203,-21.484,-56.641,0.000,0
1606143854.141,-460.938,-49.316,-49.805,-1000.000,0.000,0
1606143854.145,-280.273,-39.062,-48.828,-707.520,0.000,0
1606143854.149,234.863,-15.625,-20.996,482.910,0.000,0
1606143854.153,405.762,2.441,-3.906,-934.570,0.000,0
1606143854.157,-4.395,-40.527,-20.020,99.609,0.000,0
1606143854.161,-429.688,-63.477,-55.176,-1000.000,0.000,0
1606143854.165,-328.125,-31.738,-46.875,-805.664,0.000,0
1606143854.169,181.152,-8.789,-17.090,353.516,0.000,0
1606143854.172,406.250,-3.906,-15.625,-908.691,0.000,0
1606143854.176,40.527,-26.855,-35.645,252.441,0.000,0
1606143854.180,-416.992,-44.434,-52.246,-950.195,0.000,0
1606143854.184,-380.371,-37.109,-52.734,-891.113,0.000,0
1606143854.188,124.023,-17.578,-24.414,246.582,0.000,0
1606143854.192,401.855,-0.488,-2.441,-897.949,0.000,0
1606143854.196,92.773,-39.551,-15.137,411.621,0.000,0
1606143854.200,-379.883,-63.477,-31.250,-821.777,0.000,0
1606143854.204,-417.969,-39.551,-45.410,-981.445,0.000,0
1606143854.208,62.500,-24.902,-30.273,119.629,0.000,0
1606143854.212,405.273,-4.883,-8.789,-910.156,0.000,0
1606143854.215,173.828,-9.277,-19.531,562.012,0.000,0
1606143854.219,-327.148,-35.156,-47.852,-666.016,0.000,0
1606143854.223,-437.988,-40.039,-57.617,-1000.000,0.000,0
1606143854.227,21.973,-18.555,-30.762,-8.301,0.000,0
1606143854.231,406.738,1.465,-5.371,-938.965,0.000,0
1606143854.235,229.980,-27.832,-14.160,669.434,0.000,0
1606143854.239,-283.691,-88.379,-41.016,-519.043,0.000,0
1606143854.243,-458.496,-69.824,-39.551,-1000.000,0.000,0
1606143854.247,-44.434,-24.414,-29.785,-169.434,0.000,0
1606143854.251,379.883,-6.836,-17.578,998.047,0.000,0
1606143854.254,278.809,-7.324,-18.066,762.695,0.000,0
1606143854.258,-225.098,-30.273,-47.363,-403.320,0.000,0
1606143854.262,-451.660,-39.062,-54.688,-1000.000,0.000,0
1606143854.266,-110.352,-19.043,-20.020,-330.078,0.000,0
1606143854.270,336.914,-4.883,-3.418,895.020,0.000,0
1606143854.274,314.941,-13.672,-10.254,859.863,0.000,0
1606143854.278,-192.871,-33.691,-37.109,-284.668,0.000,0
1606143854.282,-482.910,-47.852,-59.082,-1000.000,0.000,0
1606143854.286,-173.828,-32.715,-33.203,-483.887,0.000,0
1606143854.290,308.105,-6.348,-9.766,760.742,0.000,0
1606143854.294,351.562,-17.578,-20.508,942.383,0.000,0
1606143854.297,-133.301,-55.176,-44.922,-173.340,0.000,0
1606143854.301,-476.562,-56.152,-60.547,-1000.000,0.000,0
1606143854.305,-244.141,-41.016,-33.691,-625.488,0.000,0
1606143854.309,255.371,-15.137,-1.465,603.027,0.000,0
1606143854.313,374.023,-2.441,-0.488,-981.445,0.000,0
1606143854.317,-83.008,-28.320,-27.832,-43.457,0.000,0
1606143854.321,-474.609,-44.922,-53.223,-1000.000,0.000,0
1606143854.325,-300.781,-37.598,-39.062,-728.516,0.000,0
1606143854.329,212.402,-16.602,-11.719,456.055,0.000,0
1606143854.333,394.043,4.395,-7.812,-930.176,0.000,0
1606143854.337,-14.648,-52.246,-28.809,114.746,0.000,0
1606143854.340,-448.730,-95.703,-53.711,-1000.000,0.000,0
1606143854.344,-349.609,-47.852,-49.316,-818.848,0.000,0
1606143854.348,171.387,-15.625,-5.371,334.961,0.000,0
1606143854.352,410.645,-8.301,5.859,-903.809,0.000,0
1606143854.356,48.340,-25.879,-27.344,290.527,0.000,0
1606143854.360,-407.715,-45.410,-52.734,-924.805,0.000,0
1606143854.364,-387.207,-45.898,-51.758,-905.762,0.000,0
1606143854.368,116.699,-17.090,-20.020,229.980,0.000,0
