timestamps,TP9,AF7,AF8,TP10,Right AUX
1606137606.453,-0.488,0.000,0.000,-0.488,0.000
1606137606.457,-0.488,-0.488,-0.488,-0.488,0.000
1606137606.461,16.113,0.000,-0.488,33.691,0.000
1606137606.464,-40.527,-0.488,0.488,-77.637,0.000
1606137606.468,174.316,-0.488,-5.859,353.027,0.000
1606137606.472,424.805,0.000,-13.672,-969.727,0.000
1606137606.476,39.551,-14.160,-26.855,171.875,0.000
1606137606.480,-411.133,-33.691,-47.363,-997.559,0.000
1606137606.484,-325.195,-31.250,-46.387,-822.754,0.000
1606137606.488,186.523,-14.648,-30.762,331.543,0.000
1606137606.492,437.988,4.395,-15.625,-924.805,0.000
1606137606.496,93.262,-10.254,-26.855,314.941,0.000
1606137606.500,-379.395,-42.480,-53.711,-873.535,0.000
1606137606.504,-370.605,-40.039,-52.734,-905.273,0.000
1606137606.507,136.230,-7.812,-27.344,220.215,0.000
1606137606.511,443.359,7.812,-10.742,-919.434,0.000
1606137606.515,158.203,-7.812,-26.367,483.398,0.000
1606137606.519,-337.891,-35.156,-50.293,-726.074,0.000
1606137606.523,-411.133,-48.828,-54.199,-984.375,0.000
1606137606.527,70.312,-23.926,-27.344,90.820,0.000
1606137606.531,435.547,3.418,-4.883,-936.035,0.000
1606137606.535,220.703,-6.348,-19.043,606.445,0.000
1606137606.539,-291.504,-39.551,-44.922,-585.938,0.000
1606137606.543,-439.453,-50.293,-53.223,-1000.000,0.000
1606137606.546,-4.395,-29.297,-32.715,-70.801,0.000
1606137606.550,407.715,-5.371,-13.672,-988.770,0.000
1606137606.554,264.648,-11.230,-22.949,719.727,0.000
1606137606.558,-261.230,-37.109,-47.363,-450.195,0.000
1606137606.562,-474.609,-53.711,-52.246,-1000.000,0.000
1606137606.566,-83.496,-34.668,-22.461,-233.398,0.000
1606137606.570,370.117,26.367,3.418,925.781,0.000
1606137606.574,306.152,35.645,-5.859,811.035,0.000
1606137606.578,-214.844,-26.855,-28.809,-339.355,0.000
1606137606.582,-490.234,-57.129,-32.227,-1000.000,0.000
1606137606.586,-163.086,-41.992,-20.020,-419.434,0.000
1606137606.589,323.730,-16.113,0.000,791.504,0.000
1606137606.593,327.148,-20.996,-3.906,885.742,0.000
1606137606.597,-188.477,-58.594,-42.969,-239.746,0.000
1606137606.601,-510.742,-68.848,-56.641,-1000.000,0.000
1606137606.605,-244.141,-43.945,-31.250,-576.172,0.000
1606137606.609,252.441,-14.160,-11.230,632.812,0.000
1606137606.613,341.309,-25.391,-18.555,964.355,0.000
1606137606.617,-123.047,-31.738,-38.086,-103.027,0.000
1606137606.621,-494.629,-21.484,-57.617,-1000.000,0.000
1606137606.625,-299.316,-47.363,-49.805,-706.055,0.000
1606137606.629,210.449,-41.016,-21.973,478.516,0.000
1606137606.632,372.559,-22.949,-13.184,-976.562,0.000
1606137606.636,-52.246,-40.039,-24.414,42.969,0.000
1606137606.640,-477.539,-64.453,-46.387,-1000.000,0.000
1606137606.644,-361.328,-52.734,-48.340,-807.617,0.000
1606137606.648,167.969,-23.926,-18.066,345.703,0.000
1606137606.652,407.227,-13.184,-3.906,-936.035,0.000
1606137606.656,32.715,-35.645,-20.996,222.168,0.000
1606137606.660,-416.992,-56.641,-43.457,-931.641,0.000
1606137606.664,-370.117,-58.105,-47.852,-884.766,0.000
1606137606.668,136.719,-10.254,-24.902,241.699,0.000
1606137606.671,435.059,30.762,-8.789,-920.410,0.000
1606137606.675,127.441,-14.648,-20.508,415.527,0.000
1606137606.679,-367.188,-55.176,-37.109,-789.062,0.000
1606137606.683,-403.320,-53.223,-36.621,-953.613,0.000
1606137606.687,87.402,-37.109,-15.625,144.531,0.000
1606137606.691,422.363,-16.602,0.977,-927.734,0.000
1606137606.695,175.781,-20.020,-4.395,577.637,0.000
1606137606.699,-330.078,-55.664,-28.809,-625.000,0.000
1606137606.703,-447.754,-63.477,-44.434,-1000.000,0.000
1606137606.707,6.348,-32.715,-14.648,-0.488,0.000
1606137606.711,396.484,-13.672,1.953,-959.473,0.000
1606137606.714,226.074,-30.273,-17.578,673.340,0.000
1606137606.718,-283.691,-22.949,-43.457,-502.441,0.000
1606137606.722,-471.191,-27.344,-56.641,-1000.000,0.000
1606137606.726,-61.035,-39.062,-28.809,-193.359,0.000
1606137606.730,377.441,-16.113,-3.906,956.543,0.000
1606137606.734,278.809,-23.438,-10.254,769.043,0.000
1606137606.738,-234.863,-55.664,-41.504,-394.531,0.000
1606137606.742,-479.004,-70.312,-62.988,-1000.000,0.000
1606137606.746,-130.371,-47.852,-35.645,-370.117,0.000
1606137606.750,345.703,-17.578,-14.160,848.633,0.000
1606137606.754,316.895,-14.648,-12.695,830.566,0.000
1606137606.757,-193.359,-41.016,-34.180,-323.242,0.000
1606137606.761,-481.445,-60.059,-48.828,-1000.000,0.000
1606137606.765,-198.242,-49.805,-26.367,-519.531,0.000
1606137606.769,298.340,27.344,1.953,695.312,0.000
1606137606.773,359.863,41.016,-6.836,939.941,0.000
1606137606.777,-123.047,-37.109,-36.133,-149.902,0.000
1606137606.781,-483.398,-62.988,-49.316,-1000.000,0.000
1606137606.785,-264.648,-52.246,-44.922,-649.414,0.000
1606137606.789,250.488,-20.508,-14.160,549.805,0.000
1606137606.793,388.184,-13.184,-9.277,-988.281,0.000
1606137606.796,-57.617,-28.809,-34.180,3.906,0.000
1606137606.800,-463.867,-40.039,-46.875,-1000.000,0.000
1606137606.804,-320.312,-36.621,-46.387,-755.859,0.000
1606137606.808,192.871,-21.484,-20.996,413.086,0.000
1606137606.812,397.461,-24.414,-1.953,-947.754,0.000
1606137606.816,11.230,-31.738,-23.438,176.758,0.000
1606137606.820,-430.176,-25.391,-49.316,-964.844,0.000
1606137606.824,-362.793,-38.574,-44.434,-845.703,0.000
1606137606.828,153.809,-27.344,-15.625,301.758,0.000
1606137606.832,425.781,-8.301,-1.953,-917.969,0.000
1606137606.836,96.680,-24.902,-17.090,363.281,0.000
1606137606.839,-381.836,-51.270,-41.016,-839.355,0.000
1606137606.843,-385.254,-50.293,-42.969,-931.152,0.000
1606137606.847,117.676,-21.973,-19.531,182.617,0.000
1606137606.851,440.430,-4.883,-1.465,-916.992,0.000
1606137606.855,176.270,-22.949,-16.602,517.578,0.000
1606137606.859,-325.684,-47.363,-47.852,-697.266,0.000
1606137606.863,-412.598,-47.363,-52.734,-1000.000,0.000
1606137606.867,79.590,-12.207,-29.297,61.035,0.000
1606137606.871,440.918,19.043,-13.184,-970.703,0.000
