timestamps,TP9,AF7,AF8,TP10,Right AUX
1623662381.974,17.578,-43.945,6.836,29.785,0.000
1623662381.978,28.320,-31.250,14.648,50.781,0.000
1623662381.981,41.504,-24.414,23.926,76.660,0.000
1623662381.985,57.129,-33.691,24.414,84.473,0.000
1623662381.989,52.734,-47.852,22.461,82.520,0.000
1623662381.993,54.688,-42.480,24.902,87.402,0.000
1623662381.997,73.730,-52.734,26.367,101.562,0.000
1623662382.001,81.055,0.000,23.926,122.070,0.000
1623662382.005,82.031,23.926,28.320,122.559,0.000
1623662382.009,85.938,-34.668,28.320,99.121,0.000
1623662382.013,86.426,-40.039,20.508,94.727,0.000
1623662382.017,81.543,-28.809,17.578,110.840,0.000
1623662382.021,86.914,-19.531,10.254,113.281,0.000
1623662382.024,85.449,-28.809,4.883,105.469,0.000
1623662382.028,93.750,-27.344,1.465,99.609,0.000
1623662382.032,76.172,-25.391,-4.395,83.008,0.000
1623662382.036,51.758,-25.391,1.465,82.031,0.000
1623662382.040,69.336,-22.461,10.254,88.379,0.000
1623662382.044,69.336,-32.715,9.766,83.008,0.000
1623662382.048,66.406,-20.996,16.113,91.309,0.000
1623662382.052,69.336,-24.902,11.719,69.336,0.000
1623662382.056,54.688,-8.789,1.465,51.758,0.000
1623662382.060,32.715,26.367,-6.348,44.922,0.000
1623662382.064,24.902,-8.301,-16.113,37.598,0.000
1623662382.067,25.391,-20.020,-13.184,26.855,0.000
1623662382.071,24.414,-17.090,-11.719,10.254,0.000
1623662382.075,26.855,-27.832,-16.602,6.348,0.000
1623662382.079,30.762,-34.180,-15.625,19.531,0.000
1623662382.083,23.438,-35.156,-17.578,25.391,0.000
1623662382.087,14.160,-25.391,-21.973,11.719,0.000
1623662382.091,13.672,-31.250,-19.531,-0.977,0.000
1623662382.095,9.277,18.555,-14.648,9.766,0.000
1623662382.099,11.719,32.227,-18.066,21.973,0.000
1623662382.103,17.578,-23.438,-25.391,10.254,0.000
1623662382.106,11.719,-21.973,-22.949,1.465,0.000
1623662382.110,-0.488,-23.438,-19.043,-1.953,0.000
1623662382.114,-9.766,-24.902,-18.066,4.883,0.000
1623662382.118,-20.020,-28.320,-24.902,3.906,0.000
1623662382.122,-18.066,-32.715,-29.297,-8.789,0.000
1623662382.126,-16.602,-32.715,-28.320,-5.371,0.000
1623662382.130,-21.973,-30.273,-31.250,-15.137,0.000
1623662382.134,-15.137,-26.367,-27.344,-23.438,0.000
1623662382.138,-10.742,-26.855,-22.461,-18.066,0.000
1623662382.142,-15.137,-22.461,-20.996,-17.090,0.000
1623662382.146,-10.742,-28.809,-26.367,-12.695,0.000
1623662382.149,-3.418,6.836,-27.832,-9.766,0.000
1623662382.153,3.418,50.781,-15.625,-6.348,0.000
1623662382.157,3.418,-3.906,-13.184,-14.160,0.000
1623662382.161,-9.766,-35.156,-19.531,-4.883,0.000
1623662382.165,-19.531,-31.738,-21.484,-3.906,0.000
1623662382.169,-22.461,-28.320,-27.832,-26.855,0.000
1623662382.173,-21.484,-19.531,-26.367,-30.273,0.000
1623662382.177,-10.742,-19.043,-23.438,-15.625,0.000
1623662382.181,-9.766,-17.090,-20.996,0.488,0.000
1623662382.185,-23.926,-29.785,-24.902,-7.324,0.000
1623662382.189,-23.438,-4.395,-39.551,-22.461,0.000
1623662382.192,-29.785,1.465,-44.922,-41.504,0.000
1623662382.196,-30.273,-29.785,-41.016,-48.828,0.000
1623662382.200,-20.020,-26.367,-34.668,-31.250,0.000
1623662382.204,-18.555,-25.879,-28.809,-24.414,0.000
1623662382.208,-27.344,-25.879,-27.344,-31.250,0.000
1623662382.212,-18.066,-32.715,-26.855,-29.297,0.000
1623662382.216,-13.672,-24.902,-31.250,-25.879,0.000
1623662382.220,-15.625,-22.949,-30.762,-16.602,0.000
1623662382.224,-23.926,-28.809,-27.344,-14.648,0.000
1623662382.228,-48.828,-32.227,-37.109,-37.598,0.000
1623662382.231,-58.105,-48.828,-47.852,-52.246,0.000
1623662382.235,-57.129,-44.922,-48.340,-46.875,0.000
1623662382.239,-61.035,-46.387,-47.363,-40.527,0.000
1623662382.243,-48.340,-2.441,-44.434,-28.320,0.000
1623662382.247,-47.363,42.969,-32.715,-26.855,0.000
1623662382.251,-49.805,-14.160,-21.973,-42.969,0.000
1623662382.255,-42.969,-41.016,-24.902,-52.246,0.000
1623662382.259,-41.016,-36.621,-29.297,-54.688,0.000
1623662382.263,-26.855,-29.297,-30.273,-44.434,0.000
1623662382.267,-22.461,-33.691,-34.668,-35.645,0.000
1623662382.271,-30.762,-39.551,-41.504,-39.551,0.000
1623662382.274,-29.297,-26.855,-42.480,-44.922,0.000
1623662382.278,-27.832,-38.574,-39.062,-36.621,0.000
1623662382.282,-16.602,2.930,-33.691,-24.902,0.000
1623662382.286,-16.113,16.113,-30.762,-30.762,0.000
1623662382.290,-25.391,-30.273,-34.180,-41.992,0.000
1623662382.294,-16.113,-34.668,-38.574,-40.527,0.000
1623662382.298,-17.578,-33.203,-29.785,-32.715,0.000
1623662382.302,-15.625,-25.391,-27.344,-27.344,0.000
1623662382.306,-16.602,-29.785,-36.621,-18.555,0.000
1623662382.310,-36.133,-31.250,-36.133,-25.391,0.000
1623662382.314,-42.480,-32.227,-37.598,-45.410,0.000
1623662382.317,-38.574,-21.484,-36.621,-47.363,0.000
1623662382.321,-27.832,-11.230,-31.250,-23.926,0.000
1623662382.325,-23.926,-29.297,-33.691,-21.973,0.000
1623662382.329,-37.598,-35.156,-33.203,-36.621,0.000
1623662382.333,-45.410,-47.363,-23.926,-29.785,0.000
1623662382.337,-12.695,-8.789,-20.508,-4.883,0.000
1623662382.341,9.766,41.016,-26.855,12.207,0.000
1623662382.345,-46.387,-10.742,-41.016,-47.363,0.000
1623662382.349,-78.125,-33.691,-44.434,-98.145,0.000
1623662382.353,-104.004,-32.715,-46.875,-109.863,0.000
1623662382.356,-129.395,-32.227,-58.105,-136.719,0.000
1623662382.360,-136.230,-36.621,-70.312,-164.551,0.000
1623662382.364,-160.156,-36.133,-87.402,-192.383,0.000
1623662382.368,-180.664,-21.484,-94.727,-218.262,0.000
1623662382.372,-188.965,-28.320,-91.309,-242.188,0.000
1623662382.376,-217.773,9.766,-104.980,-272.461,0.000
1623662382.380,-247.559,11.230,-113.281,-283.691,0.000
1623662382.384,-274.902,-49.316,-121.582,-313.965,0.000
1623662382.388,-305.176,-54.199,-132.812,-359.863,0.000
1623662382.392,-328.613,-54.688,-125.977,-373.535,0.000
1623662382.396,-340.332,-39.551,-123.047,-381.836,0.000
1623662382.399,-343.750,-33.203,-127.930,-374.023,0.000
1623662382.403,-343.262,-39.062,-145.020,-372.070,0.000
1623662382.407,-318.359,-22.949,-147.949,-362.793,0.000
1623662382.411,-284.668,-0.977,-131.348,-351.074,0.000
1623662382.415,-285.645,-5.371,-133.789,-356.445,0.000
1623662382.419,-294.434,-32.715,-134.766,-337.402,0.000
1623662382.423,-283.203,-39.551,-125.000,-313.477,0.000
1623662382.427,-258.301,-39.062,-119.629,-278.809,0.000
1623662382.431,-247.559,-2.441,-115.723,-264.648,0.000
1623662382.435,-243.652,25.879,-101.074,-269.043,0.000
1623662382.438,-220.215,-25.879,-87.402,-231.445,0.000
1623662382.442,-193.848,-19.531,-74.707,-205.566,0.000
1623662382.446,-186.523,-13.184,-84.961,-221.680,0.000
1623662382.450,-174.805,-34.668,-89.844,-214.844,0.000
1623662382.454,-155.762,-45.410,-70.801,-187.988,0.000
1623662382.458,-148.438,-45.410,-62.988,-162.109,0.000
1623662382.462,-132.324,-45.898,-54.688,-129.395,0.000
1623662382.466,-106.445,-57.129,-52.734,-111.816,0.000
1623662382.470,-86.914,5.859,-69.336,-104.004,0.000
1623662382.474,-52.246,31.738,-67.871,-78.613,0.000
1623662382.478,-42.480,-26.855,-52.246,-54.688,0.000
1623662382.481,-46.875,-41.992,-40.527,-55.664,0.000
1623662382.485,-27.832,-44.434,-29.297,-45.898,0.000
1623662382.489,-16.602,-28.809,-20.020,-23.926,0.000
1623662382.493,-10.742,-33.203,-10.742,-11.719,0.000
1623662382.497,-4.395,-36.621,-9.277,6.348,0.000
1623662382.501,18.555,-28.320,-9.766,33.203,0.000
1623662382.505,41.504,-24.414,-9.766,27.832,0.000
1623662382.509,38.574,-20.508,-15.137,12.207,0.000
1623662382.513,34.668,-28.320,-9.277,18.066,0.000
1623662382.517,39.062,-30.273,-7.812,35.156,0.000
1623662382.521,46.875,-42.480,-15.137,62.500,0.000
1623662382.524,62.988,-17.090,-8.789,68.359,0.000
1623662382.528,58.594,14.648,-3.906,51.270,0.000
1623662382.532,55.176,-20.508,-9.766,40.039,0.000
1623662382.536,67.383,-20.020,-7.324,45.898,0.000
1623662382.540,75.195,-18.066,-0.977,62.012,0.000
1623662382.544,71.777,-22.461,-11.230,69.824,0.000
1623662382.548,63.477,-21.484,-20.508,68.359,0.000
1623662382.552,55.664,-25.391,-15.625,56.641,0.000
1623662382.556,62.500,-29.297,-7.324,53.711,0.000
1623662382.560,61.523,-42.480,-10.254,66.406,0.000
1623662382.563,64.453,4.395,-15.625,68.848,0.000
1623662382.567,64.941,18.066,-11.230,57.617,0.000
1623662382.571,53.711,-31.250,-1.465,36.621,0.000
1623662382.575,57.129,-22.949,6.836,34.668,0.000
1623662382.579,66.895,-14.648,3.906,53.711,0.000
1623662382.583,64.941,-18.066,-1.465,55.176,0.000
1623662382.587,53.711,-27.344,-3.418,41.504,0.000
1623662382.591,50.781,-34.180,-9.277,29.785,0.000
1623662382.595,49.316,-35.156,-11.230,37.109,0.000
1623662382.599,52.246,-22.949,-3.418,60.547,0.000
1623662382.603,64.941,-18.066,-2.930,67.383,0.000
