timestamps,TP9,AF7,AF8,TP10,Right AUX
1623662982.477,-5.859,-29.297,-10.742,5.371,0.000
1623662982.481,-14.160,-27.344,-18.555,-13.184,0.000
1623662982.484,-18.555,-28.809,-18.555,-19.531,0.000
1623662982.488,-12.207,-25.879,-14.648,-9.766,0.000
1623662982.492,-11.719,-26.367,-18.066,-16.602,0.000
1623662982.496,-18.066,-33.691,-17.090,-25.391,0.000
1623662982.500,-8.789,-26.855,-10.742,-2.930,0.000
1623662982.504,3.906,-33.691,-24.414,9.277,0.000
1623662982.508,0.488,-11.230,-34.668,7.324,0.000
1623662982.512,-5.859,19.043,-25.879,4.883,0.000
1623662982.516,2.930,-23.438,-13.672,1.953,0.000
1623662982.520,10.254,-39.062,-11.230,0.488,0.000
1623662982.524,-2.441,-32.227,-14.648,1.465,0.000
1623662982.527,12.695,-21.973,-10.254,17.090,0.000
1623662982.531,27.344,-14.160,-5.371,21.484,0.000
1623662982.535,20.996,-18.555,-9.277,20.020,0.000
1623662982.539,17.090,-24.902,-20.996,24.414,0.000
1623662982.543,20.508,-28.320,-15.625,30.273,0.000
1623662982.547,18.555,-13.672,-5.371,27.832,0.000
1623662982.551,22.461,-3.418,-9.277,27.344,0.000
1623662982.555,30.762,-20.508,-13.672,21.484,0.000
1623662982.559,14.160,-36.133,-17.578,13.184,0.000
1623662982.563,3.418,-38.574,-19.043,20.020,0.000
1623662982.567,6.836,-35.156,-11.719,20.508,0.000
1623662982.570,14.648,-32.227,-12.695,14.160,0.000
1623662982.574,16.113,-26.855,-8.789,21.484,0.000
1623662982.578,12.207,-20.996,-12.207,23.926,0.000
1623662982.582,20.996,-12.695,-17.578,35.156,0.000
1623662982.586,19.531,-15.137,-16.113,27.344,0.000
1623662982.590,18.555,-15.137,-19.043,25.879,0.000
1623662982.594,15.625,-14.160,-11.230,34.180,0.000
1623662982.598,3.906,-31.250,-8.301,9.766,0.000
1623662982.602,-0.977,-24.902,-23.438,4.883,0.000
1623662982.606,3.418,-0.977,-20.508,15.137,0.000
1623662982.609,4.883,-17.090,-6.836,5.371,0.000
1623662982.613,0.000,-32.227,-12.695,-1.953,0.000
1623662982.617,-2.930,-31.250,-27.344,-6.348,0.000
1623662982.621,0.000,-29.297,-25.391,-2.930,0.000
1623662982.625,2.441,-23.926,-19.531,2.930,0.000
1623662982.629,1.465,-24.414,-13.672,-1.465,0.000
1623662982.633,-5.371,-26.367,-6.348,2.441,0.000
1623662982.637,-3.906,-29.297,-7.324,4.395,0.000
1623662982.641,6.836,-5.371,-10.742,-1.953,0.000
1623662982.645,3.906,4.883,-19.531,4.395,0.000
1623662982.649,-6.348,-26.855,-23.926,6.836,0.000
