,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_9.PNG,space,0.015639354998711497,1623662233.2461107,49.36744837499646,1623662282.5979185
1,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_8.PNG,up,54.40394293699865,1623662287.6344137,70.71814096699745,1623662303.9486105
2,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-2.png,down,75.7638421499978,1623662308.9943128,106.83193446899895,1623662340.0624046
3,code,/home/erb/.eegnb/tmp/materials.final/comp/final-9-1.png,up,111.88658542899793,1623662345.1170568,146.44455880199894,1623662379.6750288
4,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_5.PNG,up,151.47568455099827,1623662384.7061555,166.0867589069967,1623662399.3172288
5,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_3.PNG,up,171.12050279100004,1623662404.3509743,190.9328869609999,1623662424.163357
6,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_1.PNG,up,195.9640906579989,1623662429.1945617,218.1398681419996,1623662451.370338
7,code,/home/erb/.eegnb/tmp/materials.final/comp/final-15-1.png,down,223.1906396129998,1623662456.4211109,303.31504009299897,1623662536.54551
8,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_10.PNG,up,308.35341970199806,1623662541.5838907,331.1305699479999,1623662564.3610404
9,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_10.PNG,up,336.16361486799724,1623662569.394086,378.69012753899733,1623662611.920598
10,code,/home/erb/.eegnb/tmp/materials.final/comp/final-13-1.png,up,383.7359445719994,1623662616.9664156,433.8379657789992,1623662667.0684364
11,code,/home/erb/.eegnb/tmp/materials.final/comp/final-7-1.png,down,438.8901492369987,1623662672.12062,506.9714035759971,1623662740.2018738
12,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-3.png,up,512.0238038219977,1623662745.254278,574.2313924709997,1623662807.4618626
13,code,/home/erb/.eegnb/tmp/materials.final/comp/final-4-1.png,down,579.2756268889971,1623662812.506098,633.8423055939966,1623662867.0727758
14,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_20.PNG,up,638.8800067679986,1623662872.1104784,669.6471698019996,1623662902.87764
15,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-1.png,up,674.6891541579971,1623662907.9196253,757.4431295259965,1623662990.6735995
16,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_2.PNG,up,762.4706851349983,1623662995.7011566,790.763859024999,1623663023.994329
17,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-1.png,up,795.8136288249989,1623663029.0441003,839.628411370999,1623663072.8588815
18,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_11.PNG,up,844.6531362389978,1623663077.8836074,865.387024530999,1623663098.6174946
19,code,/home/erb/.eegnb/tmp/materials.final/comp/final-14-1.png,down,870.4309028689968,1623663103.6613746,913.964351538998,1623663147.1948218
20,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_4.PNG,up,919.0038090189992,1623663152.2342803,944.6075511389972,1623663177.838021
21,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_19.PNG,up,949.6472327579977,1623663182.877704,975.154789663,1623663208.3852599
22,code,/home/erb/.eegnb/tmp/materials.final/comp/final-3-1.png,down,980.2073237089971,1623663213.4377952,1057.1582131999967,1623663290.3886833
23,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_12.PNG,up,1062.1894822689974,1623663295.4199536,1084.2470491719978,1623663317.477519
24,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_1.PNG,down,1089.2835946209998,1623663322.5140655,1110.4140497709996,1623663343.64452
25,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_13.PNG,up,1115.4445527779972,1623663348.6750238,1127.0254648369992,1623663360.255935
26,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_6.PNG,up,1132.0576800069975,1623663365.2881508,1150.7309520889976,1623663383.9614227
27,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-2.png,up,1155.785722487999,1623663389.016194,1198.9919011429993,1623663432.2223713
28,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-1.png,up,1204.041968786998,1623663437.2724397,1239.4862428479973,1623663472.7167132
29,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_18.PNG,up,1244.5164502039988,1623663477.7469213,1259.3650813939967,1623663492.5955517
30,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_16.PNG,down,1264.395462941,1623663497.6259336,1295.127085150998,1623663528.3575552
31,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-2.png,down,1300.1709057989974,1623663533.4013767,1355.9096231479998,1623663589.1400933
32,code,/home/erb/.eegnb/tmp/materials.final/comp/final-11-1.png,down,1360.9576644269982,1623663594.1881351,1436.5794184789993,1623663669.8098886
33,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_7.PNG,space,1440.3069630299979,1623663673.537434,1440.482165510999,1623663673.7126353
34,code,/home/erb/.eegnb/tmp/materials.final/comp/final-1-1.png,space,1440.6735609909992,1623663673.9040322,1440.7921163819992,1623663674.0225866
35,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_5.PNG,space,1440.9567907599994,1623663674.1872623,1441.0865759089975,1623663674.3170457
36,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_4.PNG,space,1441.256718315999,1623663674.4871893,1441.3839989199987,1623663674.614469
37,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_3.PNG,space,1441.5567288009988,1623663674.7871997,1441.6706241069987,1623663674.901094
38,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_9.PNG,space,1441.8401564959968,1623663675.0706315,1441.9907736129971,1623663675.2212434
39,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_2.PNG,space,1442.1731829989985,1623663675.403654,1442.313098093,1623663675.5435684
40,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-2.png,space,1442.506523322998,1623663675.736994,1442.6286169349987,1623663675.8590868
41,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_8.PNG,space,1442.789715166,1623663676.0201862,1442.964305532998,1623663676.1947753
42,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_17.PNG,space,1443.140166885998,1623663676.370638,1443.2881171739973,1623663676.518587
43,code,/home/erb/.eegnb/tmp/materials.final/comp/final-8-1.png,space,1443.4896336829988,1623663676.7201045,1443.6166110059967,1623663676.847081
44,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_14.PNG,space,1443.8061514289984,1623663677.0366228,1443.9650805949968,1623663677.1955504
45,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_15.PNG,space,1444.139419619998,1623663677.3698912,1444.2776205129994,1623663677.5080912
46,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-1.png,space,1444.472661857999,1623663677.7031324,1444.6038056689977,1623663677.8342757
47,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_6.PNG,space,1444.7725738219997,1623663678.0030448,1444.9260671499978,1623663678.1565373
