timestamps,TP9,AF7,AF8,TP10,Right AUX
1616768978.686,-6.836,-25.879,-19.043,4.395,0.000
1616768978.690,-11.230,-22.949,-20.996,-1.953,0.000
1616768978.693,-44.922,-31.738,-31.250,-32.715,0.000
1616768978.697,-60.547,-39.551,-32.715,-41.504,0.000
1616768978.701,-35.645,-31.738,-27.832,-24.902,0.000
1616768978.705,-7.324,-21.484,-25.391,-13.672,0.000
1616768978.709,-12.207,-30.762,-29.297,-20.020,0.000
1616768978.713,-33.691,-51.758,-45.410,-45.410,0.000
1616768978.717,-56.152,-41.016,-43.457,-54.688,0.000
1616768978.721,-47.363,-31.250,-25.879,-40.039,0.000
1616768978.725,-13.672,-28.809,-17.090,-24.902,0.000
1616768978.729,-18.555,-32.227,-27.832,-25.879,0.000
1616768978.732,-43.457,-41.016,-40.527,-41.504,0.000
1616768978.736,-52.734,-37.109,-35.156,-50.293,0.000
1616768978.740,-42.480,-29.297,-20.508,-35.645,0.000
1616768978.744,-20.020,-29.785,-11.230,-3.906,0.000
1616768978.748,-11.719,-35.645,-14.160,1.953,0.000
1616768978.752,-44.434,-32.227,-30.762,-33.203,0.000
1616768978.756,-58.105,-31.738,-41.504,-55.176,0.000
1616768978.760,-34.180,-30.273,-35.645,-39.551,0.000
1616768978.764,-26.855,-26.367,-31.250,-20.020,0.000
1616768978.768,-18.066,-39.062,-31.250,-9.277,0.000
1616768978.772,-26.367,-41.016,-33.691,-26.855,0.000
1616768978.775,-50.293,-32.715,-37.598,-46.387,0.000
1616768978.779,-39.551,-24.902,-31.738,-31.738,0.000
1616768978.783,-9.277,-16.113,-20.996,-6.348,0.000
1616768978.787,2.930,-22.949,-17.090,-2.930,0.000
1616768978.791,-27.344,-30.762,-18.555,-20.020,0.000
1616768978.795,-58.594,-38.574,-23.926,-42.480,0.000
1616768978.799,-47.852,-29.297,-20.508,-42.969,0.000
1616768978.803,-18.555,-16.113,-16.602,-31.250,0.000
1616768978.807,-0.977,-22.461,-20.020,-16.602,0.000
1616768978.811,-11.719,-29.297,-27.832,-21.484,0.000
1616768978.815,-36.621,-23.438,-34.180,-41.016,0.000
1616768978.818,-52.734,-33.691,-36.621,-51.270,0.000
1616768978.822,-20.020,-31.738,-25.391,-30.762,0.000
1616768978.826,2.930,-18.066,-23.926,-8.789,0.000
1616768978.830,-19.531,-27.832,-35.645,-20.020,0.000
1616768978.834,-44.922,-37.109,-38.086,-38.086,0.000
1616768978.838,-43.457,-37.598,-30.273,-45.898,0.000
1616768978.842,-24.902,-30.273,-24.414,-34.180,0.000
1616768978.846,1.953,-13.672,-23.926,-17.578,0.000
1616768978.850,-3.418,-21.484,-38.086,-22.461,0.000
1616768978.854,-39.062,-34.180,-44.922,-41.016,0.000
1616768978.857,-48.340,-34.180,-41.016,-46.875,0.000
1616768978.861,-22.949,-20.020,-28.809,-25.391,0.000
1616768978.865,-3.906,-13.672,-18.066,-3.418,0.000
