,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_16.PNG,space,0.015540431999397697,1622712647.59405,5.318047533000936,1622712652.8965569
1,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-2.png,up,10.363686996999604,1622712657.9421961,160.81346567299988,1622712808.3919747
2,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_1.PNG,up,165.85089712300032,1622712813.429407,187.5894876980019,1622712835.167997
3,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-2.png,down,192.6291185500013,1622712840.2076278,357.3527251790001,1622713004.9312344
4,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_12.PNG,up,362.3799883749998,1622713009.9584978,399.2484515610013,1622713046.8269608
5,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_5.PNG,up,404.2721193670004,1622713051.8506289,417.9169604029994,1622713065.4954693
6,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_3.PNG,up,422.95184141700156,1622713070.530351,437.4856574100013,1622713085.0641663
7,code,/home/erb/.eegnb/tmp/materials.final/comp/final-3-1.png,space,442.5314901080019,1622713090.11,448.62532348199966,1622713096.2038326
8,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-1.png,up,453.6794259550006,1622713101.2579353,465.1603339059984,1622713112.7388432
9,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_9.PNG,up,470.19308527500107,1622713117.771595,487.36256178500116,1622713134.9410708
10,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_7.PNG,up,492.3888038969999,1622713139.9673133,534.3630918349991,1622713181.9416008
11,code,/home/erb/.eegnb/tmp/materials.final/comp/final-7-1.png,up,539.4132134819993,1622713186.9917233,621.4219892729998,1622713269.0004992
12,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-3.png,up,626.4800566369995,1622713274.058566,728.061065113001,1622713375.639574
13,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_18.PNG,up,733.0930333889992,1622713380.6715431,754.0654367710013,1622713401.6439462
14,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_9.PNG,up,759.1047430770013,1622713406.6832526,801.3283941059999,1622713448.906903
15,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_8.PNG,up,806.3626694769991,1622713453.9411788,850.5565165350017,1622713498.1350257
16,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_15.PNG,up,855.5863890990004,1622713503.1649024,866.7525444480016,1622713514.3310537
17,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_19.PNG,up,871.7833311700015,1622713519.3618407,892.7773105919987,1622713540.3558195
18,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_20.PNG,up,897.8117738830006,1622713545.3902838,943.1857331479987,1622713590.7642422
19,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_4.PNG,up,948.2188218180017,1622713595.7973316,959.0637614689986,1622713606.6422706
20,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_2.PNG,up,964.0991512580003,1622713611.677661,1017.3727961639997,1622713664.951305
21,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_6.PNG,up,1022.4047739439993,1622713669.9832835,1052.3604629420006,1622713699.9389725
22,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_17.PNG,up,1057.3981091349997,1622713704.9766185,1091.7169846100005,1622713739.2954936
23,code,/home/erb/.eegnb/tmp/materials.final/comp/final-15-1.png,up,1096.7573683439987,1622713744.3358777,1132.6604680460005,1622713780.238977
24,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_14.PNG,up,1137.6995736060016,1622713785.278083,1166.7913265220013,1622713814.3698356
25,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_11.PNG,up,1171.8265346439985,1622713819.4050436,1192.1371756270019,1622713839.715685
26,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_2.PNG,up,1197.171757086002,1622713844.7502663,1226.719073594999,1622713874.2975829
27,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_4.PNG,space,1231.7484774699988,1622713879.3269868,1238.695590506999,1622713886.2741
28,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-1.png,up,1243.7462787250006,1622713891.3247879,1262.5705576399996,1622713910.1490667
29,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-1.png,down,1267.6260146480017,1622713915.204524,1302.3456991269995,1622713949.9242084
30,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_13.PNG,up,1307.3842496299985,1622713954.9627595,1315.6616278360016,1622713963.2401369
31,code,/home/erb/.eegnb/tmp/materials.final/comp/final-14-1.png,up,1320.7149918460018,1622713968.2935014,1346.8684285960007,1622713994.4469378
32,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_1.PNG,up,1351.8925006280006,1622713999.4710097,1367.8805329349998,1622714015.4590423
33,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_6.PNG,up,1372.905171454,1622714020.4836814,1417.0916416930013,1622714064.6701508
34,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_10.PNG,up,1422.1291951310013,1622714069.7077045,1439.3056462560016,1622714086.8841558
35,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-1.png,up,1444.3583759930007,1622714091.9368856,1476.6751351089988,1622714124.2536442
36,code,/home/erb/.eegnb/tmp/materials.final/comp/final-13-1.png,up,1481.717911789001,1622714129.2964213,1520.8488444460017,1622714168.4273536
37,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-2.png,up,1525.892988861,1622714173.4714983,1560.8325377809997,1622714208.411047
38,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_5.PNG,up,1565.8687221719993,1622714213.4472318,1600.097985796001,1622714247.6764946
39,code,/home/erb/.eegnb/tmp/materials.final/comp/final-11-1.png,down,1605.1446972750018,1622714252.723207,1688.2511316870005,1622714335.8296406
40,code,/home/erb/.eegnb/tmp/materials.final/comp/final-8-1.png,space,1693.3111146670017,1622714340.889625,1696.4094770359989,1622714343.987986
41,prose,/home/erb/.eegnb/tmp/materials.final/prose/sat/sat_3.PNG,space,1696.6271975900017,1622714344.2057068,1696.7645714600003,1622714344.3430805
42,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-2.png,space,1696.9770801490013,1622714344.5555897,1697.1071206529996,1622714344.6856298
43,code,/home/erb/.eegnb/tmp/materials.final/comp/final-4-1.png,space,1697.310629118001,1622714344.8891385,1697.4806569819993,1622714345.059166
44,code,/home/erb/.eegnb/tmp/materials.final/comp/final-1-1.png,space,1697.7113160929985,1622714345.2898269,1697.9408193730014,1622714345.5193286
45,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_8.PNG,space,1698.2101684959998,1622714345.788678,1707.5050521429985,1622714355.0835612
