timestamps,TP9,AF7,AF8,TP10,Right AUX
1622713473.968,-11.230,-39.551,-51.270,-39.551,0.000
1622713473.972,-14.160,-26.855,-45.410,-50.781,0.000
1622713473.975,-2.930,-17.090,-20.508,-32.715,0.000
1622713473.979,8.789,-16.602,-5.859,-0.488,0.000
1622713473.983,0.000,-27.344,-18.066,0.488,0.000
1622713473.987,-14.160,-49.316,-41.992,-23.926,0.000
1622713473.991,-7.812,-30.762,-30.273,-25.391,0.000
1622713473.995,2.441,-6.836,-6.348,0.488,0.000
1622713473.999,0.488,-4.883,0.977,14.160,0.000
1622713474.003,-14.160,-18.066,-5.371,4.883,0.000
1622713474.007,-31.738,-50.781,-17.578,-18.066,0.000
1622713474.011,-48.340,-33.691,-19.043,-39.062,0.000
1622713474.015,-38.574,6.348,20.996,-34.180,0.000
1622713474.018,-40.039,8.301,38.086,-35.156,0.000
1622713474.022,-68.848,-6.348,8.789,-57.617,0.000
1622713474.026,-99.121,-9.766,3.906,-91.797,0.000
1622713474.030,-119.141,7.324,27.832,-115.723,0.000
1622713474.034,-125.977,17.090,47.852,-135.254,0.000
1622713474.038,-126.465,27.832,61.523,-141.602,0.000
1622713474.042,-151.367,20.020,47.852,-153.320,0.000
1622713474.046,-180.176,-14.160,11.719,-195.312,0.000
1622713474.050,-199.219,13.184,-5.371,-231.445,0.000
1622713474.054,-200.195,53.223,14.648,-230.469,0.000
1622713474.058,-190.430,59.082,26.855,-218.262,0.000
1622713474.061,-184.570,50.781,20.996,-212.402,0.000
1622713474.065,-206.543,36.621,-1.953,-237.793,0.000
1622713474.069,-221.191,33.691,-36.133,-263.672,0.000
1622713474.073,-199.707,50.293,-26.855,-245.117,0.000
1622713474.077,-175.293,62.988,-0.488,-212.891,0.000
1622713474.081,-161.621,33.691,-4.395,-187.012,0.000
1622713474.085,-163.574,26.855,-28.320,-185.059,0.000
1622713474.089,-170.898,36.133,-44.434,-203.125,0.000
1622713474.093,-163.086,43.457,-28.320,-196.289,0.000
1622713474.097,-135.254,52.734,-7.324,-155.273,0.000
1622713474.100,-115.234,13.672,-12.207,-120.117,0.000
1622713474.104,-122.070,2.930,-36.621,-126.465,0.000
1622713474.108,-125.000,7.324,-53.711,-138.184,0.000
1622713474.112,-131.348,2.930,-38.574,-123.535,0.000
1622713474.116,-119.629,15.625,-22.949,-91.309,0.000
