timestamps,TP9,AF7,AF8,TP10,Right AUX
1622714374.726,-62.500,-33.203,-30.762,-29.785,0.000
1622714374.730,-73.730,-34.668,-33.691,-46.387,0.000
1622714374.734,-77.148,-32.715,-24.414,-55.176,0.000
1622714374.738,-75.195,-24.902,-12.207,-46.875,0.000
1622714374.741,-71.289,-22.949,-10.254,-28.320,0.000
1622714374.745,-73.730,-24.902,-18.555,-25.879,0.000
1622714374.749,-78.125,-54.688,-33.203,-38.086,0.000
1622714374.753,-76.660,-57.617,-39.551,-52.246,0.000
1622714374.757,-64.941,-34.668,-26.367,-46.387,0.000
1622714374.761,-45.898,-21.973,-20.508,-30.273,0.000
1622714374.765,-40.527,-22.461,-30.273,-28.320,0.000
1622714374.769,-37.109,-42.480,-41.504,-43.945,0.000
1622714374.773,-41.016,-38.574,-33.691,-57.129,0.000
1622714374.777,-41.992,-20.996,-22.461,-46.875,0.000
1622714374.781,-24.902,-20.020,-18.066,-21.973,0.000
1622714374.784,-25.879,-24.414,-21.973,-19.043,0.000
1622714374.788,-36.133,-27.344,-32.715,-32.227,0.000
1622714374.792,-43.457,-28.809,-32.227,-41.504,0.000
1622714374.796,-39.551,-30.273,-23.438,-41.016,0.000
1622714374.800,-28.809,-23.438,-18.066,-27.344,0.000
1622714374.804,-22.461,-41.992,-20.996,-15.137,0.000
1622714374.808,-20.020,-53.223,-28.809,-22.949,0.000
1622714374.812,-23.926,-29.297,-35.645,-38.086,0.000
1622714374.816,-23.926,-27.832,-26.367,-28.320,0.000
1622714374.820,-2.930,-24.902,-13.184,9.766,0.000
1622714374.823,17.578,-11.719,-17.578,20.508,0.000
1622714374.827,-12.207,-6.836,-32.227,-27.344,0.000
1622714374.831,-48.340,-11.230,-39.062,-61.035,0.000
1622714374.835,-43.945,-6.348,-30.273,-48.828,0.000
1622714374.839,-42.480,9.766,-19.043,-31.738,0.000
1622714374.843,-61.035,-13.184,-24.414,-37.598,0.000
1622714374.847,-69.824,-27.832,-38.086,-48.828,0.000
1622714374.851,-62.012,-18.066,-41.992,-53.711,0.000
1622714374.855,-60.547,-9.277,-33.203,-50.781,0.000
1622714374.859,-53.711,-3.906,-20.996,-31.250,0.000
1622714374.863,-39.062,-5.859,-15.137,-12.207,0.000
1622714374.866,-43.945,-8.301,-22.949,-18.555,0.000
1622714374.870,-59.570,-21.973,-36.621,-40.527,0.000
1622714374.874,-59.570,-25.391,-30.273,-49.805,0.000
1622714374.878,-48.340,-13.184,-17.578,-39.062,0.000
1622714374.882,-35.645,-4.883,-18.066,-24.414,0.000
1622714374.886,-39.551,-9.766,-32.227,-35.645,0.000
1622714374.890,-45.410,-28.320,-46.875,-56.152,0.000
1622714374.894,-41.016,-27.344,-43.945,-63.965,0.000
1622714374.898,-30.762,-37.598,-32.715,-53.223,0.000
1622714374.902,-19.531,-43.945,-24.902,-34.180,0.000
1622714374.906,-22.949,-29.297,-30.273,-34.668,0.000
1622714374.909,-36.133,-41.992,-45.410,-51.270,0.000
1622714374.913,-37.598,-41.992,-43.457,-54.688,0.000
1622714374.917,-19.531,-29.297,-27.832,-40.527,0.000
1622714374.921,-13.672,-20.996,-24.902,-29.297,0.000
1622714374.925,-32.227,-31.250,-31.738,-27.832,0.000
1622714374.929,-38.086,-41.992,-40.039,-45.898,0.000
1622714374.933,-38.086,-29.785,-41.504,-58.594,0.000
1622714374.937,-34.668,-52.246,-32.715,-50.293,0.000
1622714374.941,-33.203,-46.875,-28.320,-37.109,0.000
1622714374.945,-38.574,-24.414,-26.367,-28.809,0.000
1622714374.948,-44.922,-33.691,-29.785,-39.062,0.000
1622714374.952,-47.852,-37.109,-35.156,-54.199,0.000
1622714374.956,-47.363,-34.180,-29.297,-52.246,0.000
1622714374.960,-43.457,-23.926,-19.531,-34.180,0.000
1622714374.964,-36.133,-29.297,-22.949,-19.531,0.000
1622714374.968,-34.668,-41.504,-35.156,-30.273,0.000
1622714374.972,-49.316,-46.875,-41.016,-48.340,0.000
1622714374.976,-50.293,-38.574,-33.691,-44.922,0.000
1622714374.980,-30.762,-14.160,-16.113,-23.926,0.000
1622714374.984,-27.344,-22.461,-19.043,-13.184,0.000
1622714374.988,-34.668,-29.297,-37.598,-29.297,0.000
1622714374.991,-41.016,-56.641,-36.621,-46.875,0.000
1622714374.995,-35.156,-67.871,-21.484,-45.410,0.000
1622714374.999,-23.926,-21.973,-14.648,-28.320,0.000
1622714375.003,-22.461,-14.648,-24.414,-20.508,0.000
1622714375.007,-26.855,-25.391,-38.086,-32.227,0.000
1622714375.011,-29.785,-27.832,-47.852,-49.805,0.000
1622714375.015,-24.414,-18.555,-38.574,-45.898,0.000
1622714375.019,-17.578,-5.859,-26.855,-21.484,0.000
1622714375.023,-17.090,-4.883,-24.414,-9.277,0.000
1622714375.027,-21.484,-20.020,-35.645,-15.625,0.000
1622714375.031,-34.668,-51.758,-45.410,-32.715,0.000
1622714375.034,-40.039,-44.922,-41.504,-34.668,0.000
1622714375.038,-28.809,-19.043,-28.809,-20.996,0.000
1622714375.042,-22.461,-17.578,-24.414,-9.766,0.000
1622714375.046,-28.809,-26.367,-33.203,-9.766,0.000
1622714375.050,-32.715,-39.062,-34.668,-28.320,0.000
1622714375.054,-31.250,-37.109,-30.762,-32.715,0.000
1622714375.058,-30.273,-25.879,-25.391,-19.043,0.000
1622714375.062,-30.273,-24.902,-22.949,-12.207,0.000
1622714375.066,-27.344,-33.203,-28.809,-17.578,0.000
1622714375.070,-37.109,-35.645,-40.527,-31.250,0.000
1622714375.073,-48.340,-27.344,-33.203,-35.645,0.000
