,type,image_path,response,t_presented,t_presented_utc,t_answered,t_answered_utc
0,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_10.PNG,up,0.018835549999494106,1622230694.368222,21.663912776999496,1622230716.0132987
1,code,/home/erb/.eegnb/tmp/materials.final/comp/final-3-1.png,down,26.714010525998674,1622230721.0633967,85.29264503999912,1622230779.6420305
2,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_9.PNG,up,90.31931107299897,1622230784.6686969,110.52851237100003,1622230804.877898
3,code,/home/erb/.eegnb/tmp/materials.final/comp/final-8-1.png,up,115.58156739100014,1622230809.9309535,209.6650236229998,1622230904.0144095
4,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_16.PNG,down,214.69747747399924,1622230909.0468636,230.56345582099857,1622230924.9128416
5,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_4.PNG,up,235.59381656799997,1622230929.9432025,257.00212688600004,1622230951.3515124
6,code,/home/erb/.eegnb/tmp/materials.final/comp/final-7-1.png,down,262.0559133129991,1622230956.405299,321.4970841009999,1622231015.84647
7,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_8.PNG,up,326.5281244679991,1622231020.8775103,362.16529627099953,1622231056.5146818
8,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-1.png,up,367.20445718799965,1622231061.553843,422.3030049709996,1622231116.652391
9,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_12.PNG,up,427.3274521129988,1622231121.6768382,457.17326885999864,1622231151.5226545
10,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_13.PNG,up,462.2048819119991,1622231156.5542676,475.2104548779989,1622231169.5598407
11,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_18.PNG,up,480.2351518079995,1622231174.5845373,494.727348032,1622231189.0767336
12,code,/home/erb/.eegnb/tmp/materials.final/comp/final-13-1.png,up,499.7818118599989,1622231194.1311977,535.8075698829998,1622231230.156956
13,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_11.PNG,up,540.8415673700001,1622231235.190953,566.2489665989997,1622231260.5983524
14,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_14.PNG,up,571.2863246279994,1622231265.6357102,583.5378207279991,1622231277.8872063
15,code,/home/erb/.eegnb/tmp/materials.final/comp/final-10-2.png,down,588.5834506339997,1622231282.9328368,619.1726205019986,1622231313.5220063
16,code,/home/erb/.eegnb/tmp/materials.final/comp/final-4-1.png,up,624.2274658009992,1622231318.5768523,670.6667548109999,1622231365.0161405
17,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_1.PNG,up,675.7022246689994,1622231370.0516105,692.2890752089988,1622231386.6384609
18,code,/home/erb/.eegnb/tmp/materials.final/comp/final-11-1.png,down,697.3318455089993,1622231391.681232,772.4555837629996,1622231466.8049693
19,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-1.png,down,777.5018191500003,1622231471.8512049,821.9562534859997,1622231516.3056395
20,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-2.png,up,827.0101689049989,1622231521.3595552,882.2617272000007,1622231576.6111133
21,code,/home/erb/.eegnb/tmp/materials.final/comp/final-15-1.png,up,887.3167698550005,1622231581.6661558,950.2506622450001,1622231644.6000483
22,code,/home/erb/.eegnb/tmp/materials.final/comp/final-9-1.png,space,954.9889041340011,1622231649.3382902,955.1413661989991,1622231649.4907517
23,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_6.PNG,space,955.3054877669983,1622231649.6548736,955.419630172999,1622231649.769016
24,code,/home/erb/.eegnb/tmp/materials.final/comp/final-12-2.png,space,955.572087904,1622231649.921474,955.8139510230012,1622231650.1633368
25,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_19.PNG,space,955.9553580209995,1622231650.3047435,956.0848729209993,1622231650.4342587
26,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-2.png,space,956.2386350459983,1622231650.5880218,956.3462131249998,1622231650.6956112
27,code,/home/erb/.eegnb/tmp/materials.final/comp/final-14-1.png,space,956.5053370879996,1622231650.8547227,956.6140952820006,1622231650.963481
28,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_17.PNG,space,956.7721622349982,1622231651.1215503,956.9001138549993,1622231651.2494993
29,code,/home/erb/.eegnb/tmp/materials.final/comp/final-5-3.png,space,957.0718365900011,1622231651.4212227,957.3153920140012,1622231651.6647775
30,code,/home/erb/.eegnb/tmp/materials.final/comp/final-1-1.png,space,957.4730972529997,1622231651.822483,957.6085001890006,1622231651.957886
31,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_20.PNG,space,957.771747042998,1622231652.1211333,957.8723984609987,1622231652.2217839
32,code,/home/erb/.eegnb/tmp/materials.final/comp/final-2-1.png,space,958.0550651770009,1622231652.4044518,958.1824957320005,1622231652.5318813
33,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_2.PNG,space,958.3387934080001,1622231652.688179,958.4686700929979,1622231652.8180554
34,prose,/home/erb/.eegnb/tmp/materials.final/prose/bugs/bugs_5.PNG,space,958.6882395320008,1622231653.0376256,958.9807728979995,1622231653.3301582
